feature	metadata	value	coef	stderr	pval	qval	base.model	tweedie.index	N	N.not.zero	percent.zero
App	type	wound	2.81637809768402	0.0614328423799686	0	0	CPLM	1.01	3167	901	72
Malat1	type	wound	-2.48843589585021	0.0469169943147878	0	0	CPLM	1.293	3167	2859	10
Gm26917	type	wound	1.59425896568821	0.0376826195549878	2.07670858636443e-310	4.8941099018655e-308	CPLM	1.01	3167	2159	32
Chl1	type	wound	4.05797919990447	0.100680686200826	4.61701334563136e-287	8.16057108840343e-285	CPLM	1.01	3167	531	83
Ptprj	type	wound	3.57120613071906	0.101976040624959	2.23815277253322e-227	3.16474802036197e-225	CPLM	1.01	3167	458	86
Fgfr2	type	wound	2.37831154119783	0.068847652739088	3.55261664301198e-222	4.18616661101578e-220	CPLM	1.01	3167	677	79
Ptprd	type	wound	2.52536958638433	0.0804603825340474	1.67985757392569e-188	1.69665614966494e-186	CPLM	1.01	3167	580	82
Cyp7b1	type	wound	2.03500618817756	0.0649564696381066	6.69433098345075e-188	5.9161150066246e-186	CPLM	1.01	3167	1004	68
Tgfbr3	type	wound	1.60003106757238	0.0520102816098833	4.69382310427813e-182	3.68725881636071e-180	CPLM	1.01	3167	1621	49
Dlg2	type	wound	3.82092461707136	0.128056907434326	1.34090403344084e-172	9.48019151642672e-171	CPLM	1.01	3167	341	89
Nkain2	type	wound	5.10865679249771	0.171502406976756	4.30333618954478e-172	2.76587153273469e-170	CPLM	1.01	3167	427	87
Alpk1	type	wound	3.27019982181672	0.116011262056196	3.61586022294893e-156	2.13034431468741e-154	CPLM	1.01	3167	350	89
Sdk1	type	wound	3.83301319076803	0.139459918340652	2.53117845648809e-149	1.37657166825929e-147	CPLM	1.01	3167	317	90
Lsamp	type	wound	2.14812365230531	0.0795055344968836	7.54700612327874e-145	3.81123809225577e-143	CPLM	1.01	3167	636	80
Tshz2	type	wound	2.50604804598958	0.0928741857139387	1.63883041517657e-144	7.72435402353223e-143	CPLM	1.01	3167	472	85
Tgfbi	type	wound	1.53025858738545	0.0574360415424635	2.81455051748219e-141	1.24367950991244e-139	CPLM	1.01	3167	1646	48
Cyfip1	type	wound	2.31008950502568	0.0867398645694501	3.53371566073305e-141	1.46960998361074e-139	CPLM	1.01	3167	477	85
Fbxw4	type	wound	2.63593924787252	0.0992283654618945	1.55330713785001e-140	6.10104525811087e-139	CPLM	1.01	3167	392	88
Ctnna3	type	wound	2.94611523822778	0.117052276690158	1.40280165566126e-127	5.21989879238163e-126	CPLM	1.01	3167	348	89
Gm10801	type	wound	8.6747760132163	0.349890093142763	3.65728466409968e-124	1.29285012875924e-122	CPLM	1.245	3167	712	78
Plcb1	type	wound	2.31694679773997	0.0943300771929722	4.36924230446969e-122	1.47097824250479e-120	CPLM	1.01	3167	444	86
Fhit	type	wound	2.36904010361725	0.0996222731494535	3.80925709600699e-115	1.22415671221679e-113	CPLM	1.01	3167	409	87
Arhgap24	type	wound	1.88937786260667	0.0797967601436103	3.03563031280819e-114	9.3312636137191e-113	CPLM	1.01	3167	742	77
Gm19951	type	wound	1.14477527455838	0.0512689223341226	1.10967697063667e-102	3.26892340933386e-101	CPLM	1.01	3167	1698	46
Gphn	type	wound	1.09317954390233	0.0489650993226042	1.17924601118122e-102	3.33490771962049e-101	CPLM	1.01	3167	1835	42
Pcsk5	type	wound	2.3681044610608	0.106858130687888	2.80888952491964e-101	7.63801882353148e-100	CPLM	1.01	3167	337	89
Cdk8	type	wound	1.11995457981618	0.0506825712030314	9.55797228879275e-101	2.50277274376907e-99	CPLM	1.379	3167	2734	14
St3gal4	type	wound	1.68937536005961	0.0769904366501727	1.8468180407291e-99	4.66321555284098e-98	CPLM	1.01	3167	881	72
Galnt17	type	wound	2.09605424774637	0.0959942047358859	1.4302141862792e-98	3.48676355068757e-97	CPLM	1.01	3167	520	84
Sox5	type	wound	2.18386150972338	0.102572703308781	4.06978551853167e-94	9.5911278720063e-93	CPLM	1.01	3167	413	87
Gm42418	type	wound	-0.398766477332303	0.0188471875784227	4.84210912538168e-93	1.10431327472414e-91	CPLM	1.553	3167	3163	0
Sulf1	type	wound	2.23186334430494	0.112895750180753	4.06212260348485e-82	8.97475212707433e-81	CPLM	1.01	3167	356	89
Yars	type	wound	2.08681976010754	0.105594622789868	4.57044372032341e-82	9.79182942505651e-81	CPLM	1.01	3167	399	87
Stk39	type	wound	2.14585730570407	0.109362630440058	5.46375786596841e-81	1.1361402385999e-79	CPLM	1.01	3167	378	88
Antxr1	type	wound	1.15259856851319	0.0596920976585371	1.26588962643861e-78	2.557097045406e-77	CPLM	1.01	3167	1415	55
Magi2	type	wound	1.44192912426093	0.0760519677601703	5.14020739175416e-76	1.00947961832505e-74	CPLM	1.01	3167	855	73
Macrod2	type	wound	1.4882173540742	0.0798642839028099	1.28154689879217e-73	2.44879366877315e-72	CPLM	1.01	3167	743	77
Dse	type	wound	1.41621236612765	0.076212270219124	3.06602313931895e-73	5.70441673552237e-72	CPLM	1.01	3167	972	69
