feature	metadata	value	coef	stderr	pval	qval	base.model	tweedie.index	N	N.not.zero	percent.zero
Zbtb20	type	wound	-1.7460855140995	0.156730775818533	7.79817688095421e-28	2.08868816066342e-26	CPLM	1.01	1634	1173	28
Lrrc4c	type	wound	2.43228612523296	0.218901760855687	1.05895740233726e-27	2.78179963767827e-26	CPLM	1.171	1634	217	87
Pdgfrb	type	wound	1.49144473367239	0.13632716032463	6.21811089228438e-27	1.60263009035103e-25	CPLM	1.01	1634	342	79
Negr1	type	wound	1.78321043814379	0.163714854510435	1.01753779892538e-26	2.57399376542975e-25	CPLM	1.01	1634	217	87
Tgfbr3	type	wound	0.908026997894924	0.0845625605349438	4.88915300119429e-26	1.2142878181148e-24	CPLM	1.133	1634	1076	34
Dennd4a	type	wound	1.54629042150868	0.145271632226385	1.25817883733275e-25	3.06905766392238e-24	CPLM	1.01	1634	265	84
Pde10a	type	wound	1.61493403436702	0.152275492097926	1.85607550092952e-25	4.44806865661355e-24	CPLM	1.01	1634	223	86
Ghr	type	wound	-1.62593110945078	0.154000565623555	2.97973982299737e-25	6.89885525121087e-24	CPLM	1.143	1634	1150	30
Cers6	type	wound	1.85233709956687	0.17541942188751	2.93491777661089e-25	6.89885525121087e-24	CPLM	1.01	1634	167	90
Pdss2	type	wound	1.61775090878318	0.153458458609735	3.49501550096792e-25	7.95698529053696e-24	CPLM	1.01	1634	227	86
Tshz3	type	wound	1.63993100437614	0.15662628708404	7.11512476683362e-25	1.59332138221225e-23	CPLM	1.01	1634	254	84
Prkn	type	wound	1.19157146961843	0.115441897864286	3.0674743924629e-24	6.75833874210374e-23	CPLM	1.01	1634	505	69
Meg3	type	wound	-3.76603281500586	0.367830236552325	6.9086541014996e-24	1.49797166708706e-22	CPLM	1.151	1634	1148	30
Celf2	type	wound	-1.05402228563812	0.105133343126566	5.36191079493871e-23	1.14443283529473e-21	CPLM	1.01	1634	1309	20
Arhgap24	type	wound	1.15576440680232	0.11543391141569	6.08237035065859e-23	1.27823352292302e-21	CPLM	1.237	1634	656	60
