feature	metadata	value	coef	stderr	pval	qval	base.model	tweedie.index	N	N.not.zero	percent.zero
Malat1	type	wound	-2.86648636238465	0.067278723069698	9.94508543485448e-276	7.05106557331183e-273	CPLM	1.271	1822	1432	21
Gm10801	type	wound	6.80406918907559	0.232124594071704	4.99270853547889e-155	1.76991517582727e-152	CPLM	1.283	1822	637	65
Gm42418	type	wound	-0.651231919428972	0.022864084314246	6.94577924952913e-148	1.64151916263872e-145	CPLM	1.55	1822	1818	0
Chl1	type	wound	1.89486165694309	0.071979719313031	1.09742846932316e-129	1.9451919618753e-127	CPLM	1.01	1822	618	66
Ptprj	type	wound	2.78220078274358	0.109875656189878	1.94610075424085e-121	2.75957086951353e-119	CPLM	1.01	1822	405	78
Fgfr2	type	wound	1.75765049363783	0.0742634757466067	3.45198826155793e-108	4.07909946240762e-106	CPLM	1.01	1822	579	68
App	type	wound	1.69839538217496	0.0728084787875555	1.62837687888455e-105	1.64931315304164e-103	CPLM	1.01	1822	742	59
Ptprd	type	wound	2.94672241852606	0.126661566283758	4.99577991112048e-105	4.42750994623053e-103	CPLM	1.01	1822	328	82
Lsamp	type	wound	2.69988359071526	0.117567694088221	1.07469868176257e-102	8.46623739299624e-101	CPLM	1.01	1822	330	82
Tgfbi	type	wound	2.09256683004399	0.0932555395232008	1.19186168372927e-98	8.45029933764056e-97	CPLM	1.111	1822	558	69
Fbxw4	type	wound	2.51617819055498	0.115768437841635	2.60627507459116e-93	1.67986275262285e-91	CPLM	1.01	1822	294	84
Nkain2	type	wound	4.22553564574692	0.196087594145079	6.37558215565326e-92	3.76690645696513e-90	CPLM	1.01	1822	379	79
Macrod2	type	wound	2.20607873763309	0.106414021975017	7.0491223596765e-86	3.84448288693126e-84	CPLM	1.01	1822	354	81
Trp63	type	wound	1.45411830085625	0.0703193374712124	1.69708590102537e-85	8.59452788447848e-84	CPLM	1.01	1822	781	57
Magi2	type	wound	2.22377541337755	0.108485135433477	3.47316397687723e-84	1.6416488397373e-82	CPLM	1.01	1822	355	81
Gm37240	type	wound	2.47320085641504	0.126284595481718	1.18608726717485e-77	5.25584920266857e-76	CPLM	1.01	1822	238	87
Cntnap2	type	wound	4.42738983079531	0.228168408060673	2.18874018984493e-76	9.12833408588269e-75	CPLM	1.01	1822	263	86
Dlg2	type	wound	1.65497001063436	0.0855647068115762	5.96966602509198e-76	2.35138511766123e-74	CPLM	1.01	1822	512	72
Zfhx3	type	wound	2.9627385365327	0.157240865245608	1.72660616443211e-72	6.44296721359138e-71	CPLM	1.01	1822	208	89
Ctnna3	type	wound	3.20529897135871	0.17160236733932	2.26935552741725e-71	8.04486534469415e-70	CPLM	1.01	1822	231	87
Rbfox1	type	wound	3.02578473297126	0.162291530823799	3.90237912572632e-71	1.31751752387617e-69	CPLM	1.01	1822	217	88
Plbd1	type	wound	2.47191941032588	0.137132013419699	5.74380827683406e-67	1.85107275830698e-65	CPLM	1.01	1822	221	88
Pcdh15	type	wound	4.31089462281236	0.24382123700267	1.10779842881757e-64	3.41490906970286e-63	CPLM	1.01	1822	211	88
Alpk1	type	wound	2.68490616565617	0.154432673040493	9.37530733818136e-63	2.76962204282108e-61	CPLM	1.01	1822	192	89
Lrrc4c	type	wound	3.60362584334237	0.209786853832979	2.07880159256438e-61	5.89548131651259e-60	CPLM	1.01	1822	199	89
Lrp1b	type	wound	4.40967055005781	0.26033024692926	7.05109332965389e-60	1.92277891181716e-58	CPLM	1.01	1822	229	87
Sdk1	type	wound	2.74300127453384	0.164164291325741	2.02715798792769e-58	5.32316671644714e-57	CPLM	1.01	1822	183	90
Dsc3	type	wound	1.4141444588151	0.0847541874226922	2.85775987141989e-58	7.23625624584536e-57	CPLM	1.109	1822	651	64
Dlgap1	type	wound	4.1256133636943	0.25146416202604	1.60050086963079e-56	3.91294867782149e-55	CPLM	1.01	1822	190	90
Dsg3	type	wound	2.21298052666139	0.136336836863969	1.94126426047269e-55	4.5878545355838e-54	CPLM	1.01	1822	218	88
Nrxn3	type	wound	4.68856760675209	0.307382147817111	1.58172851388751e-49	3.61756618176209e-48	CPLM	1.01	1822	206	89
Prkg1	type	wound	1.86037278614405	0.123706158313502	2.87072302770893e-48	6.36044570826759e-47	CPLM	1.01	1822	262	86
Fat2	type	wound	1.78570304650582	0.11897092443441	4.24101100966017e-48	9.11174789651231e-47	CPLM	1.01	1822	287	84
Grid2	type	wound	4.51021022879114	0.301258378517261	7.08952377456217e-48	1.47837422240135e-46	CPLM	1.01	1822	197	89
Gm26917	type	wound	0.786786255736228	0.0527665104453682	1.59215632181566e-47	3.2252538061923e-46	CPLM	1.157	1822	1327	27
Plcb1	type	wound	2.31388346730393	0.157603260155472	3.32299711273572e-46	6.54445820258229e-45	CPLM	1.01	1822	190	90
Dpp10	type	wound	4.61780644010038	0.318039297388788	2.79147551798731e-45	5.34907065473785e-44	CPLM	1.01	1822	188	90
Fhit	type	wound	1.3268078020536	0.0915640029600408	4.08322901964689e-45	7.61844572349906e-44	CPLM	1.01	1822	443	76
Cyfip1	type	wound	1.66532023766944	0.115572985002896	1.17637571399161e-44	2.13859072107705e-43	CPLM	1.01	1822	284	84
Dab1	type	wound	1.41653775513001	0.103862192093565	2.12501044776831e-40	3.76658101866933e-39	CPLM	1.01	1822	348	81
Neat1	type	wound	-1.76483145605595	0.132008193593404	5.91343963679597e-39	1.02259236646057e-37	CPLM	1.01	1822	1046	43
Sgcd	type	wound	1.56583701176122	0.119321946469369	1.17889543578659e-37	1.99008777136355e-36	CPLM	1.01	1822	320	82
Prkn	type	wound	1.22787405900911	0.0963888585845225	1.14367194719942e-35	1.88572886177765e-34	CPLM	1.01	1822	410	77
Camta1	type	wound	1.49505493188383	0.118715703776211	6.26240116193047e-35	1.00910055086562e-33	CPLM	1.01	1822	257	86
Tshz2	type	wound	1.48715883824793	0.118383046737459	9.01744357827213e-35	1.42074833266554e-33	CPLM	1.01	1822	308	83
Gm19951	type	wound	0.790694171577248	0.0641907573624663	1.5123918141555e-33	2.33105607877446e-32	CPLM	1.01	1822	928	49
Tenm2	type	wound	1.25606399673207	0.104729930570716	5.95324223624483e-32	8.98052924573954e-31	CPLM	1.01	1822	500	73
St3gal4	type	wound	1.69484881131327	0.141634325899796	8.0503656625564e-32	1.1891060947401e-30	CPLM	1.01	1822	264	86
Ank3	type	wound	1.21548612210024	0.102743789781622	3.65519944938093e-31	5.28884981553281e-30	CPLM	1.01	1822	410	77
Nav2	type	wound	1.71044700363622	0.144645292241335	3.86946027080081e-31	5.48689466399555e-30	CPLM	1.01	1822	200	89
Dpyd	type	wound	1.53843221625779	0.131461661175306	1.49237352247258e-30	2.07469181849619e-29	CPLM	1.01	1822	259	86
Cdk14	type	wound	1.54442748503865	0.132514641433591	2.51648903888889e-30	3.43113601648504e-29	CPLM	1.01	1822	237	87
Sox5	type	wound	1.72224886770339	0.149568653425128	1.15235879182293e-29	1.54155166679708e-28	CPLM	1.01	1822	222	88
Ccser1	type	wound	1.43209144246559	0.126897313059871	1.34701895813789e-28	1.76858600244401e-27	CPLM	1.01	1822	290	84
Kdm4b	type	wound	1.65056344962044	0.148846518151625	1.0696393676697e-27	1.37886238486876e-26	CPLM	1.01	1822	194	89
Gphn	type	wound	0.646147361835457	0.0586151481061113	2.11935770579736e-27	2.63618353229882e-26	CPLM	1.01	1822	1110	39
Arhgap15	type	wound	1.56057205005826	0.141550944075921	2.09188164876885e-27	2.63618353229882e-26	CPLM	1.01	1822	200	89
Agbl1	type	wound	1.4655494565466	0.134490093186418	7.86265410400876e-27	9.61141682714174e-26	CPLM	1.01	1822	263	86
Fam129b	type	wound	1.05108503387866	0.0974445195777643	2.44769121357232e-26	2.94137808546233e-25	CPLM	1.01	1822	493	73
Dse	type	wound	1.55647720818527	0.145569793155165	6.38843869740412e-26	7.54900506076587e-25	CPLM	1.01	1822	217	88
Atxn1	type	wound	0.90876698939555	0.0852694797526159	9.08205730129519e-26	1.05560305354398e-24	CPLM	1.01	1822	551	70
Tom1l2	type	wound	1.19711233472863	0.112953019799022	1.65194547722166e-25	1.88216040001069e-24	CPLM	1.01	1822	359	80
Wwox	type	wound	0.941395581025776	0.0888360061709156	1.67398055128944e-25	1.88216040001069e-24	CPLM	1.01	1822	517	72
Nckap5	type	wound	1.40315200657964	0.132428651964859	1.69898823132136e-25	1.88216040001069e-24	CPLM	1.01	1822	261	86
Adamtsl1	type	wound	1.1659899428312	0.113145008238712	3.04885982550331e-24	3.32560248658746e-23	CPLM	1.01	1822	333	82
Pde4d	type	wound	0.824692370630457	0.0813910327552741	1.64517821197643e-23	1.76732023074437e-22	CPLM	1.01	1822	676	63
Col1a2	type	wound	-3.06226734179927	0.302635461074407	1.88033078636288e-23	1.98978287691236e-22	CPLM	1.01	1822	923	49
Map3k20	type	wound	1.32275860320683	0.13203378255698	4.94112413962945e-23	5.15184855146659e-22	CPLM	1.01	1822	220	88
Stk39	type	wound	1.50589217247984	0.150481577194452	5.49996805213295e-23	5.6514164477714e-22	CPLM	1.01	1822	193	89
Gm48099	type	wound	1.14402114924656	0.115468338855147	1.42040366508029e-22	1.43866599791704e-21	CPLM	1.01	1822	355	81
Mast4	type	wound	0.986381287520831	0.102979329095798	3.09061013214507e-21	3.08625716012796e-20	CPLM	1.01	1822	355	81
Cdk8	type	wound	0.539494069210183	0.0564586164467436	3.8150125806765e-21	3.7567276662495e-20	CPLM	1.537	1822	1644	10
