feature	metadata	value	coef	stderr	pval	qval	base.model	tweedie.index	N	N.not.zero	percent.zero
Gm42418	type	wound	-1.64138960907556	0.0625421483764757	2.42374201982368e-92	1.36699049918055e-89	CPLM	1.444	446	434	3
Ttn	type	wound	-3.20019160089173	0.132362109802905	5.0649727872081e-83	1.42832232599268e-80	CPLM	1.389	446	210	53
Malat1	type	wound	-3.59571844068856	0.173757248099884	4.26080577752945e-67	8.01031486175537e-65	CPLM	1.254	446	181	59
Dmd	type	wound	-1.37279350180281	0.104568403395395	1.69702504550399e-33	2.39280531416062e-31	CPLM	1.126	446	246	45
Neat1	type	wound	-3.03701280112889	0.259508935314957	9.27908719234154e-28	1.04668103529613e-25	CPLM	1.01	446	115	74
Gm10801	type	wound	7.99437289427577	0.768497917593982	7.92836396702906e-23	7.45266212900732e-21	CPLM	1.298	446	329	26
Fgfr2	type	wound	2.72606022304359	0.27342330376137	2.91429378461274e-21	2.34808813503084e-19	CPLM	1.01	446	193	57
Ptprd	type	wound	2.56744375856605	0.269253609686249	9.91619625163204e-20	6.99091835740059e-18	CPLM	1.01	446	178	60
Ghr	type	wound	-1.83365264046754	0.193368488122025	1.51075387363733e-19	9.46739094146057e-18	CPLM	1.01	446	96	78
Camk1d	type	wound	-1.33921199030878	0.147045645857261	2.8933865363509e-18	1.63187000650191e-16	CPLM	1.01	446	143	68
Col1a2	type	wound	-3.8210895876673	0.42277287302816	4.94844862776142e-18	2.53720456914313e-16	CPLM	1.01	446	99	78
Cmss1	type	wound	-1.04654874541946	0.117892658768651	1.70394573719619e-17	8.00854496482211e-16	CPLM	1.01	446	205	54
Lsamp	type	wound	2.09201376850143	0.238656486817384	3.9712093760575e-17	1.72289391392033e-15	CPLM	1.01	446	188	58
Magi2	type	wound	1.83501698162924	0.209728249366121	4.49204288344642e-17	1.80965156161699e-15	CPLM	1.01	446	169	62
Col1a1	type	wound	-3.95138047524442	0.475543284213623	1.18144867891773e-15	4.44224703273066e-14	CPLM	1.01	446	86	81
Col3a1	type	wound	-3.01733064726789	0.37110384396039	4.29928607392278e-15	1.51549834105778e-13	CPLM	1.01	446	57	87
Zbtb20	type	wound	-1.14096654617375	0.141959094793738	8.38429760225454e-15	2.78161402804209e-13	CPLM	1.01	446	153	66
Neb	type	wound	-1.52251650775005	0.19091091870553	1.30483098870313e-14	4.08847043126982e-13	CPLM	1.01	446	112	75
Chl1	type	wound	4.50157797420219	0.567593610973743	1.78106278573332e-14	5.28694426922943e-13	CPLM	1.01	446	204	54
Macrod2	type	wound	1.68959411682465	0.213366977414529	1.94190237829281e-14	5.47616470678574e-13	CPLM	1.01	446	178	60
Dlg2	type	wound	3.46723466857064	0.453668640346596	1.32499557261455e-13	3.55855953787908e-12	CPLM	1.01	446	159	64
Rian	type	wound	-2.59724664670099	0.343279256920358	2.23861430461078e-13	5.73899303545672e-12	CPLM	1.01	446	60	87
Agbl1	type	wound	-0.936976521199192	0.130587916394464	3.05200626084423e-12	7.48405013528759e-11	CPLM	1.133	446	206	54
Ryr1	type	wound	-1.17435939275724	0.167722156915009	9.39401419233757e-12	2.20759333519933e-10	CPLM	1.01	446	114	74
