feature	metadata	value	coef	stderr	pval	qval	base.model	tweedie.index	N	N.not.zero	percent.zero
Malat1	type	wound	-4.15041582251525	0.129555254714523	7.67929784879685e-147	9.32266758843938e-144	CPLM	1.273	825	528	36
Gm42418	type	wound	-1.54802832433599	0.0524028571150617	2.51994927000189e-131	1.52960920689115e-128	CPLM	1.526	825	809	2
Fgfr2	type	wound	2.19276907848816	0.0840954713687446	9.92773796430687e-110	4.01742462955618e-107	CPLM	1.01	825	374	55
Ptprd	type	wound	3.69631863778185	0.173650764190619	1.9263916016325e-80	5.84659851095463e-78	CPLM	1.01	825	231	72
Fbxw4	type	wound	2.58970059407261	0.133239934168237	1.52415990502506e-69	3.70066024940084e-67	CPLM	1.01	825	232	72
Rbfox1	type	wound	3.00435971384371	0.155237205396387	4.61563057950201e-69	9.33895920585907e-67	CPLM	1.01	825	214	74
Magi2	type	wound	2.46790286315075	0.127679579434354	6.39625983541752e-69	1.10929420574241e-66	CPLM	1.01	825	237	71
Macrod2	type	wound	2.13469569747597	0.11094946814153	2.08221374996844e-68	3.15975936557711e-66	CPLM	1.01	825	290	65
Chl1	type	wound	4.59732990845276	0.242171957039799	6.26813029113764e-67	8.45501130382344e-65	CPLM	1.01	825	259	69
Lsamp	type	wound	3.55856072816056	0.193193136061655	1.04957048207046e-63	1.27417856523354e-61	CPLM	1.01	825	238	71
Gm10801	type	wound	9.21684936392103	0.510396926964842	1.16494536491255e-61	1.28567606636712e-59	CPLM	1.283	825	375	55
Dlg2	type	wound	4.22924220642531	0.256773814875823	6.76783729071667e-53	6.8467953924417e-51	CPLM	1.01	825	207	75
Gm37240	type	wound	2.30683660218353	0.148099104811369	3.90958856572456e-48	3.65095424522278e-46	CPLM	1.01	825	183	78
Prkg1	type	wound	2.48505446964664	0.161234248890543	2.80512959049704e-47	2.43244808775958e-45	CPLM	1.01	825	203	75
Htr1f	type	wound	3.75061664787576	0.243730712738549	3.75681547485253e-47	3.04051599098065e-45	CPLM	1.01	825	153	81
Ccser1	type	wound	2.47250831024642	0.161999674931957	1.69691973046914e-46	1.28753784549346e-44	CPLM	1.01	825	192	77
Pcdh15	type	wound	4.49252030761721	0.297835662968142	1.42210567625051e-45	1.01555075939301e-43	CPLM	1.01	825	203	75
Lrrc4c	type	wound	5.02242395678149	0.3418725676355	1.45708024851705e-43	9.82719678722052e-42	CPLM	1.01	825	173	79
Nckap5	type	wound	2.17036294291527	0.148101205818597	2.22757820252699e-43	1.42330523045672e-41	CPLM	1.01	825	183	78
Lrrtm4	type	wound	3.51999025561314	0.240521840670786	2.8062834443597e-43	1.70341405072634e-41	CPLM	1.01	825	136	84
Lrp1b	type	wound	5.59151670164088	0.388506060011499	4.68390787368448e-42	2.70774483745379e-40	CPLM	1.01	825	210	75
Tmem164	type	wound	-3.00761043671872	0.209925872801037	9.95458993382984e-42	5.49312371803156e-40	CPLM	1.471	825	336	59
Csmd1	type	wound	4.42306654197018	0.312631663956673	7.78415435521735e-41	4.10867973357994e-39	CPLM	1.01	825	186	77
Gpc5	type	wound	4.58483303625566	0.328245437094281	6.06111516395566e-40	3.0659140871009e-38	CPLM	1.01	825	149	82
