feature	metadata	value	coef	stderr	pval	qval	base.model	tweedie.index	N	N.not.zero	percent.zero
Chl1	type	wound	4.12459941444051	0.0838125244602518	0	0	CPLM	1.01	4694	515	89
Nkain2	type	wound	4.0827170722662	0.0953562318453317	0	0	CPLM	1.01	4694	512	89
Fgfr2	type	wound	2.89916794392879	0.0682574441518857	0	0	CPLM	1.01	4694	726	85
Ptprd	type	wound	3.29542861713524	0.0825722726217202	3.81637273884568e-300	3.4919810560438e-298	CPLM	1.01	4694	505	89
Malat1	type	wound	-2.96973581554971	0.078367364961646	2.1438881941403e-274	1.5693261581107e-272	CPLM	1.162	4694	4198	11
Lsamp	type	wound	2.62200785318944	0.0700341988059833	1.15861464298485e-268	7.06754932220756e-267	CPLM	1.01	4694	779	83
App	type	wound	2.7542453172152	0.0754234633735703	3.43457869991778e-257	1.79579400595701e-255	CPLM	1.01	4694	663	86
Gm42418	type	wound	-0.61037838754813	0.0181417318541533	1.66210237691248e-222	7.60411837437459e-221	CPLM	1.338	4694	4686	0
Ptprj	type	wound	2.96222116298834	0.0891725209811828	1.66098938289573e-217	6.75469015710929e-216	CPLM	1.01	4694	476	90
Gm10801	type	wound	8.57397570667404	0.258267009187345	2.91383913281176e-217	1.0664651226091e-215	CPLM	1.211	4694	661	86
Macrod2	type	wound	2.33402994180821	0.0786194894178997	1.20709521252504e-177	4.01633497985605e-176	CPLM	1.01	4694	677	86
Ctnna3	type	wound	2.54772328477684	0.0882928874390358	1.09359901125818e-168	3.33547698433744e-167	CPLM	1.01	4694	549	88
Gm26917	type	wound	1.87901166084282	0.0680637703467849	1.38547785558912e-155	3.90065303958167e-154	CPLM	1.01	4694	1169	75
Fhit	type	wound	2.4392052097237	0.0884881100586786	3.69661279372841e-155	9.66400201788999e-154	CPLM	1.01	4694	525	89
Magi2	type	wound	1.93743815628797	0.07773256654796	7.02926327883239e-129	1.7151402400351e-127	CPLM	1.01	4694	838	82
Ccser1	type	wound	2.14904394050434	0.0913477873224112	8.81756872995994e-116	2.01701884697834e-114	CPLM	1.01	4694	537	89
Gphn	type	wound	1.05604254105928	0.0493427572518886	4.85645047096608e-97	1.04556521904328e-95	CPLM	1.01	4694	2686	43
Prkn	type	wound	1.58194918919836	0.0876876368587755	2.12752743713944e-70	4.32597245551685e-69	CPLM	1.01	4694	842	82
Dpyd	type	wound	1.66094124736599	0.0988426526557591	1.39907310691806e-61	2.69505661648427e-60	CPLM	1.01	4694	592	87
Agbl1	type	wound	1.4210422514531	0.0848611289759024	3.53642142709376e-61	6.47165121158158e-60	CPLM	1.01	4694	951	80
Tgfbi	type	wound	1.51289555909377	0.0905851831271512	7.11574310037739e-61	1.24017236892292e-59	CPLM	1.01	4694	797	83
Prkg1	type	wound	1.55210256695397	0.0945887816354313	7.01030288966576e-59	1.1662594807353e-57	CPLM	1.01	4694	726	85
Gm48099	type	wound	1.36219793928931	0.0869950477208677	6.60654403642503e-54	1.05130222492677e-52	CPLM	1.01	4694	899	81
Sgcd	type	wound	1.48057372721743	0.0949109054293478	1.58625001575647e-53	2.41903127402861e-52	CPLM	1.01	4694	725	85
Immp2l	type	wound	1.7173269689242	0.112986345511019	5.73742375595128e-51	8.39958837871267e-50	CPLM	1.01	4694	473	90
Wwox	type	wound	1.35649033486851	0.0929812521469617	3.52033492970399e-47	4.95554840104485e-46	CPLM	1.01	4694	793	83
Negr1	type	wound	1.53281876686248	0.105684169828112	1.15701777215438e-46	1.56840186892038e-45	CPLM	1.01	4694	578	88
Cdh13	type	wound	1.28186647566593	0.0915636108093296	1.16981686182967e-43	1.52911775510592e-42	CPLM	1.01	4694	923	80
Auts2	type	wound	1.25556177853854	0.0943609816806584	1.11069763731836e-39	1.40177701813283e-38	CPLM	1.01	4694	840	82
Arhgap24	type	wound	1.45462121656794	0.112126215359594	7.7298219805593e-38	9.43038281628234e-37	CPLM	1.01	4694	576	88
Col1a2	type	wound	-3.23213417666213	0.250519866026988	1.89495849499569e-37	2.23727357796265e-36	CPLM	1.01	4694	3637	23
Atxn1	type	wound	1.29761198770994	0.10094946348781	3.43905564155509e-37	3.93341989002863e-36	CPLM	1.01	4694	755	84
Col1a1	type	wound	-2.70972772510726	0.211263240439088	4.86308579157788e-37	5.39360424156819e-36	CPLM	1.01	4694	3445	27
