""	"pathway"	"pathway_members"	"pval"	"fdr"	"n"	"N"	"set_enrichment_score"
"W248"	"path:mmu05415"	"Camk2d;Camk2a;Col3a1;Col1a1;Col1a2;Gfpt1;Insr;Irs1;Smad3;Nfkb1;Pik3ca;Pik3r1;Prkca;Prkcb;Plcb1;Plcb4;Pten;Tbc1d4;Tgfb2;Tgfbr1;Tgfbr2;Akt3;Mapk14;Gsk3b"	0.225099275518461	0.81693300896673	24	24	5789
"W104"	"path:mmu04611"	"Rap1a;Adcy9;Col3a1;Col1a1;Col1a2;Fyn;Gnaq;Gnas;Ppp1r12a;Pik3ca;Pik3r1;Plcb1;Plcb4;Prkg1;Rock1;Rock2;Stim1;Adcy2;Akt3;Mapk1;Mapk14;Apbb1ip;Arhgef12"	0.232519532858215	0.81693300896673	23	23	5543.5
"W201"	"path:mmu05146"	"Col3a1;Col1a1;Col1a2;Ptk2;Fn1;Gnaq;Gnas;Il1r1;Lama2;Lama4;Nfkb1;Pik3ca;Pik3r1;Prkca;Prkcb;Plcb1;Plcb4;Tgfb2;Lamc1;Actn4"	0.235894755120775	0.81693300896673	20	20	4769
"W135"	"path:mmu04740"	"Camk2d;Camk2a;Gnb1;Prkg1;Slc8a1"	0.243613417897023	0.81693300896673	5	5	1840.5
"W105"	"path:mmu04613"	"Nfkb1;Pik3ca;Pik3r1;Prkca;Prkcb;Plcb1;Plcb4;Hdac4;Akt3;Mapk1;Mapk14;Hdac7;Hdac8"	0.245407645281873	0.81693300896673	13	13	4364.5
"W230"	"path:mmu05218"	"Braf;Egfr;Fgfr1;Igf1r;Mitf;Pdgfrb;Pik3ca;Pik3r1;Pten;Akt3;Mapk1;Pdgfd"	0.247045517253518	0.81693300896673	12	12	2728
"W178"	"path:mmu04979"	"Abca1;Lrp1"	0.247416395682724	0.81693300896673	2	2	297
"W227"	"path:mmu05215"	"Braf;Ar;Crebbp;Egfr;Fgfr1;Fgfr2;Hsp90ab1;Igf1r;Nfkb1;Pdgfrb;Pdpk1;Pik3ca;Pik3r1;Pten;Sos2;Tcf7l1;Tcf7l2;Zeb1;Creb5;Akt3;Mapk1;Creb3l1;Foxo1;Gsk3b;Pdgfd"	0.250474270502063	0.81693300896673	25	25	6103.5
"W236"	"path:mmu05224"	"Braf;Apc;Egfr;Esr1;Fgfr1;Igf1r;Lrp6;Ncoa1;Ncoa3;Pik3ca;Pik3r1;Pten;Sos2;Tcf7l1;Tcf7l2;Akt3;Mapk1;Gsk3b;Csnk1a1"	0.250958155002832	0.81693300896673	19	19	4536.5
"W26"	"path:mmu00640"	"Acacb;Acaca;Pcca;Bckdhb;Acss3"	0.251418777033904	0.81693300896673	5	5	1833.5
"W134"	"path:mmu04730"	"Braf;Gnaq;Gnas;Igf1r;Prkca;Prkcb;Plcb1;Plcb4;Prkg1;Mapk1;Gria3"	0.255578897574666	0.81693300896673	11	11	3729.5
"W202"	"path:mmu05152"	"Camk2d;Atp6v0b;Apaf1;Atp6v0a1;Camk2a;Crebbp;Jak1;Ksr1;Lamp2;Mrc2;Nfkb1;Pla2r1;Ppp3ca;Ppp3cb;Eea1;Tgfb2;Akt3;Mapk1;Mapk14;Arhgef12"	0.257860175388535	0.81693300896673	20	20	4809
"W76"	"path:mmu04151"	"Pkn2;Col6a3;Col1a1;Col1a2;Efna5;Egfr;Ptk2;Fgfr1;Fgfr2;Fn1;Ghr;Gnb1;Gng12;Lpar1;Magi1;Hsp90ab1;Igf1r;Insr;Irs1;Jak1;Lama2;Lama4;Nfkb1;Pdgfrb;Pdpk1;Pik3ca;Pik3r1;Prkca;Pten;Sos2;Ywhae;Lamc1;Creb5;Ppp2r3a;Akt3;Mapk1;Creb3l1;Ppp2r5c;Ppp2r5e;Magi2;Foxo3;Gsk3b;Pdgfd;Rptor;Tnxb;Phlpp1"	0.257915714261357	0.81693300896673	46	46	11692
"W13"	"path:mmu00515"	"B4galt1;Large1;St3gal3"	0.258257785495585	0.81693300896673	3	3	1168.5
"W211"	"path:mmu05168"	"Apaf1;Birc3;Eif2ak3;Jak1;Nfkb1;Pik3ca;Pik3r1;Srsf2;Srsf5;Sp100;Traf3;Akt3;Srsf6"	0.26074975735511	0.81693300896673	13	13	3002.5
"W192"	"path:mmu05132"	"Ahnak2;Abi1;Birc3;Anxa2;Cdc42;Dync1h1;Dnm2;Elmo1;Hsp90ab1;Kif5b;Klc1;Kpna4;Acbd3;Myo6;Nfkb1;Pik3ca;Flna;Rock2;Exoc4;Cyfip1;Tcf7l1;Tcf7l2;Akt3;Mapk1;Mapk14;Nckap1;Ahnak;Snx9;Actr3;Rhoj"	0.262308176807652	0.81693300896673	30	30	7446
"W170"	"path:mmu04970"	"Adcy9;Gnaq;Gnas;Prkca;Prkcb;Plcb1;Plcb4;Prkg1;Slc9a1;Adcy2;Atp2b1;Atp1a2"	0.26386273140608	0.81693300896673	12	12	4029
"W109"	"path:mmu04625"	"Ksr1;Nfkb1;Pik3ca;Pik3r1;Ppp3ca;Ppp3cb;Cblb;Akt3;Mapk1;Mapk14;Arhgef12"	0.271991543429861	0.81693300896673	11	11	2506.5
"W184"	"path:mmu05020"	"C7;Apaf1;Cacna1c;Eif2ak3;Fyn;Kif5b;Klc1;Ncam2;Pik3ca;Pik3r1;Ppp3ca;Ppp3cb;Mcu;Lamc1;Creb5;Mapk1;Mapk14;Creb3l1;Gsk3b"	0.27269429088147	0.81693300896673	19	19	4573.5
"W35"	"path:mmu01523"	"Nfkb1;Abcc4;Abcc5"	0.273409332293992	0.81693300896673	3	3	536.5
"W223"	"path:mmu05211"	"Braf;Rap1a;Arnt;Cdc42;Crebbp;Gab1;Pik3ca;Pik3r1;Sos2;Tgfb2;Akt3;Mapk1"	0.273709802100791	0.81693300896673	12	12	2764
"W57"	"path:mmu04066"	"Camk2d;Arnt;Camk2a;Crebbp;Egfr;Igf1r;Insr;Nfkb1;Pik3ca;Pik3r1;Prkca;Prkcb;Stat3;Akt3;Mapk1"	0.274835439752717	0.81693300896673	15	15	3537.5
"W45"	"path:mmu03320"	"Pdpk1;Sorbs1"	0.276831414842568	0.81693300896673	2	2	817
"W218"	"path:mmu05205"	"Camk2d;Ank2;Braf;Ank3;Camk2a;Cdc42;Col1a1;Col1a2;Dcn;Ddx5;Egfr;Esr1;Ptk2;Fgfr1;Fn1;Gab1;Sdc2;Igf1r;Ppp1r12a;Pdcd4;Pdpk1;Pik3ca;Pik3r1;Prkca;Prkcb;Flna;Rock1;Rock2;Slc9a1;Sos2;Stat3;Tgfb2;Akt3;Mapk1;Mapk14;Iqgap1;Frs2;Ppp1r12b;Vav3;Arhgef12;Plce1"	0.27955750915732	0.81693300896673	41	41	10411.5
"W141"	"path:mmu04912"	"Camk2d;Adcy9;Cacna1c;Camk2a;Cdc42;Egfr;Gnaq;Gnas;Mmp14;Prkca;Prkcb;Plcb1;Plcb4;Pld1;Sos2;Adcy2;Map3k3;Mapk1;Mapk14"	0.282481425273858	0.81693300896673	19	19	6145.5
"W114"	"path:mmu04658"	"Jak1;Maf;Nfkb1;Ppp3ca;Ppp3cb;Rbpj;Stat5b;Mapk1;Mapk14;Maml2;Maml3"	0.286622316799266	0.81693300896673	11	11	2524.5
"W122"	"path:mmu04710"	"Fbxw11;Prkag2;Arntl;Btrc;Clock;Npas2;Rora;Cul1"	0.295431292035201	0.81693300896673	8	8	2747
"W11"	"path:mmu00513"	"B4galt1;Man1a;Man2a1;St3gal3;Man1c1;Fut8"	0.295530878355344	0.81693300896673	6	6	2116
"W199"	"path:mmu05144"	"Sdc2;Lrp1;Tgfb2"	0.295624780109859	0.81693300896673	3	3	550.5
"W22"	"path:mmu00600"	"Plpp1;Sgms1;Plpp3;Cers5"	0.295863620673935	0.81693300896673	4	4	787
"W80"	"path:mmu04213"	"Prkag2;Adcy9;Igf1r;Insr;Irs1;Pik3ca;Pik3r1;Adcy2;Akt3;Foxo1;Foxo3;Rptor"	0.29657226628815	0.81693300896673	12	12	2793
