""	"pathway"	"pathway_members"	"pval"	"fdr"	"n"	"N"	"set_enrichment_score"
"W16"	"path:mmu00533"	"B4galt1;St3gal3;St3gal1;Fut8"	0.495147436056593	0.921808300194005	4	4	1354
"W197"	"path:mmu05142"	"Cflar;Gnaq;Gnas;Nfkb1;Pik3ca;Pik3r1;Plcb1;Plcb4;Tgfb2;Tgfbr1;Tgfbr2;Akt3;Mapk1;Mapk14"	0.497483844549145	0.921808300194005	14	14	3535
"W28"	"path:mmu00983"	"Xdh;Upp2;Dpyd"	0.515177064843366	0.924532763179075	3	3	1032.5
"W149"	"path:mmu04920"	"Acacb;Prkag2;Irs1;Nfkb1;Stat3;Akt3"	0.516960318621227	0.924532763179075	6	6	1434
"W195"	"path:mmu05135"	"Pkn2;Rps6ka3;Cdc42;Elmo1;Ptk2;Fn1;Gnaq;Nfkb1;Pik3ca;Pik3r1;Rock1;Rock2;Wipf1;Akt3;Wasf2;Mapk1;Mapk14;Dock1;Gsk3b;Vav3;Arhgef12;Actr3"	0.517994937589967	0.924532763179075	22	22	5710
"W239"	"path:mmu05230"	"Egfr;Fgfr1;Fgfr2;Gls;Pdgfrb;Pik3ca;Pik3r1;Pten;Slc1a5;Akt3;Mapk1"	0.520227384137703	0.924532763179075	11	11	2755.5
"W143"	"path:mmu04914"	"Braf;Rps6ka3;Adcy9;Cpeb1;Hsp90ab1;Igf1r;Pik3ca;Pik3r1;Cpeb3;Adcy2;Akt3;Mapk1;Mapk14;Anapc5"	0.522407292083452	0.924532763179075	14	14	3559
"W214"	"path:mmu05171"	"C7;Egfr;Il6st;Jak1;Nfkb1;Nrp1;Pik3ca;Pik3r1;Prkca;Prkcb;Stat3;Traf3;Mapk1;Mapk14"	0.522407292083452	0.924532763179075	14	14	3559
"W21"	"path:mmu00565"	"Pafah1b1;Pld1;Plpp1;Plpp3"	0.526530501329555	0.924532763179075	4	4	922
"W125"	"path:mmu04720"	"Camk2d;Braf;Rap1a;Rps6ka3;Cacna1c;Camk2a;Crebbp;Gnaq;Prkca;Prkcb;Plcb1;Plcb4;Ppp3ca;Ppp3cb;Mapk1"	0.534902181841017	0.924532763179075	15	15	4635.5
"W118"	"path:mmu04664"	"Fyn;Gab2;Pdpk1;Pik3ca;Pik3r1;Prkca;Sos2;Akt3;Mapk1;Mapk14;Vav3"	0.535775267066556	0.924532763179075	11	11	3446.5
"W212"	"path:mmu05169"	"Apaf1;Jak1;Nedd4;Nfkb1;Pik3ca;Pik3r1;Rbpj;Ncor2;Stat3;Traf3;Akt3;Mapk14"	0.538496593986129	0.924532763179075	12	12	3038
"W150"	"path:mmu04921"	"Camk2d;Prkag2;Adcy9;Cacna1c;Cacna2d1;Camk2a;Egfr;Gnaq;Gnas;Mef2c;Ppp1r12a;Prkca;Prkcb;Plcb1;Plcb4;Ppp3ca;Ppp3cb;Rock1;Rock2;Adcy2;Mapk1;Ppp1r12b"	0.543188240038145	0.924532763179075	22	22	6690
"W24"	"path:mmu00604"	"St3gal1;St6galnac5"	0.546384773126335	0.924532763179075	2	2	705
"W231"	"path:mmu05219"	"Braf;Egfr;Mapk1;Dapk1"	0.54664834013366	0.924532763179075	4	4	932
"W233"	"path:mmu05221"	"Braf;Runx1t1;Nfkb1;Pik3ca;Pik3r1;Sos2;Stat3;Stat5b;Tcf7l1;Tcf7l2;Zbtb16;Akt3;Mapk1"	0.558273720592643	0.926155955178888	13	13	3323.5
"W163"	"path:mmu04934"	"Camk2d;Braf;Rap1a;Adcy9;Apc;Arnt;Cacna1c;Camk2a;Egfr;Gnaq;Gnas;Pbx1;Plcb1;Plcb4;Adcy2;Tcf7l1;Tcf7l2;Kmt2a;Creb5;Mapk1;Creb3l1;Gsk3b"	0.562907780924167	0.926155955178888	22	22	5763
"W116"	"path:mmu04660"	"Cdc42;Dlg1;Fyn;Nfkb1;Pdpk1;Pik3ca;Pik3r1;Ppp3ca;Ppp3cb;Sos2;Cblb;Akt3;Mapk1;Mapk14;Gsk3b;Vav3"	0.572704173257492	0.926155955178888	16	16	4146
"W2"	"path:mmu00220"	"Gls;Glud1"	0.578468464636015	0.926155955178888	2	2	436
"W165"	"path:mmu04936"	"Acacb;Tra2a;Acaca;Prkag2;Nfkb1;Tcf7l1;Tcf7l2;Traf3;Akt3;Mapk14;Nox4;Foxo1;Foxo3;Gsk3b"	0.578525458459735	0.926155955178888	14	14	3611
"W176"	"path:mmu04976"	"Adcy9;Gnas;Slc9a1;Adcy2;Abcc4;Slc4a4;Atp1a2"	0.579975543767153	0.926155955178888	7	7	1736.5
"W81"	"path:mmu04215"	"Apaf1;Birc3;Xiap;Birc6"	0.583793351941671	0.926155955178888	4	4	1310
"W167"	"path:mmu04961"	"Dnm3;Adcy9;Ap2a2;Dnm1;Dnm2;Esr1;Gnaq;Gnas;Prkca;Prkcb;Plcb1;Plcb4;Slc8a1;Cltc;Atp2b1;Atp1a2"	0.588218221875215	0.926155955178888	16	16	4879
"W75"	"path:mmu04150"	"Braf;Rps6ka3;Grb10;Igf1r;Insr;Irs1;Lrp6;Pdpk1;Pik3ca;Pik3r1;Prkca;Prkcb;Pten;Sos2;Fnip1;Mapkap1;Akt3;Mapk1;Ulk2;Fnip2;Clip1;Gsk3b;Rptor;Deptor"	0.588706427522106	0.926155955178888	24	24	7222
"W5"	"path:mmu00250"	"Gfpt1;Gls;Glud1"	0.590630730803187	0.926155955178888	3	3	694.5
"W31"	"path:mmu01232"	"Adk;Gda;Xdh;Upp2;Nt5c2"	0.59387814635115	0.926155955178888	5	5	1608.5
"W172"	"path:mmu04972"	"Rap1a;Adcy9;Gnaq;Gnas;Prkca;Prkcb;Plcb1;Plcb4;Slc9a1;Adcy2;Slc4a4;Atp2b1;Atp1a2"	0.594965523473298	0.926155955178888	13	13	3989.5
"W190"	"path:mmu05034"	"Braf;Gnas;Gnb1;Gng12;Sos2;Hdac4;Creb5;Mapk1;Creb3l1;Hdac7;Hdac8"	0.596403825590602	0.926155955178888	11	11	3397.5
"W7"	"path:mmu00310"	"Nsd1;Ash1l;Kmt2a;Kmt5b;Kmt2c;Nsd3;Setd2;Kmt2e;Smyd3;Camkmt;Ehmt1"	0.616856512046285	0.926155955178888	11	11	3381.5
"W242"	"path:mmu05321"	"Smad3;Maf;Nfkb1;Rora;Stat3;Tgfb2"	0.617935877620806	0.926155955178888	6	6	1494
"W20"	"path:mmu00564"	"Pld1;Plpp1;Plpp3"	0.620180931749386	0.926155955178888	3	3	706.5
"W9"	"path:mmu00510"	"B4galt1;Man1a;Man2a1;Man1c1;Fut8"	0.622498668046096	0.926155955178888	5	5	1593.5
"W92"	"path:mmu04370"	"Cdc42;Ptk2;Pik3ca;Pik3r1;Prkca;Prkcb;Ppp3ca;Ppp3cb;Akt3;Mapk1;Mapk14"	0.625900210903246	0.926155955178888	11	11	2840.5
"W91"	"path:mmu04360"	"Camk2d;Sema3d;Abl1;Srgap1;Boc;Bmpr2;Camk2a;Cdc42;Efna5;Ptk2;Srgap2;Fyn;Neo1;Nrp1;Ntn1;Pdpk1;Pik3ca;Pik3r1;Prkca;Ppp3ca;Ppp3cb;Robo1;Rock1;Rock2;Sema3a;Sema3b;Sema3c;Sema5a;Slit2;Slit3;Ablim1;Ssh2;Srgap3;Mapk1;Robo2;Gsk3b;Arhgef12;Pard3"	0.626093927969186	0.926155955178888	38	38	11242
"W126"	"path:mmu04721"	"Dnm3;Atp6v0b;Ap2a2;Atp6v0a1;Dnm1;Dnm2;Cltc"	0.636298020171634	0.926155955178888	7	7	1771.5
"W96"	"path:mmu04392"	"Rassf2;Tead1;Yap1;Frmd6;Stk3;Wwtr1"	0.637345476943392	0.926155955178888	6	6	1505
"W188"	"path:mmu05032"	"Adcy9;Gnas;Gnb1;Gng12;Prkca;Prkcb;Adcy2;Pde4d;Pde3a"	0.640526547594937	0.926155955178888	9	9	2773.5
"W48"	"path:mmu04012"	"Camk2d;Braf;Abl1;Abl2;Camk2a;Egfr;Ptk2;Gab1;Pik3ca;Pik3r1;Prkca;Prkcb;Sos2;Stat5b;Cblb;Akt3;Mapk1;Gsk3b"	0.6446176046837	0.926155955178888	18	18	5410
"W64"	"path:mmu04114"	"Fbxw11;Camk2d;Rps6ka3;Adcy9;Ar;Btrc;Camk2a;Cpeb1;Igf1r;Ppp3ca;Ppp3cb;Slk;Cpeb3;Adcy2;Ywhae;Mapk1;Mapk14;Ppp2r5c;Ppp2r5e;Cul1;Anapc5"	0.650182280188232	0.926155955178888	21	21	5586.5
"W187"	"path:mmu05031"	"Camk2d;Cacna1c;Camk2a;Gnas;Gria4;Prkca;Prkcb;Ppp3ca;Ppp3cb;Creb5;Creb3l1;Gria3"	0.658598887038232	0.926155955178888	12	12	3137
"W228"	"path:mmu05216"	"Braf;Tcf7l1;Tcf7l2;Mapk1"	0.661403248418121	0.926155955178888	4	4	1274
"W177"	"path:mmu04978"	"Slc8a1;Trpm7;Atp2b1;Atp1a2"	0.663617233809487	0.926155955178888	4	4	1273
"W39"	"path:mmu03015"	"Smg6;Papola;Smg1;Fus;Ppp2r3a;Rngtt;Ppp2r5c;Ppp2r5e;Srrm1;Ddx39b;Pabpn1;Acin1;Wdr33;Msi2"	0.666462293376416	0.926155955178888	14	14	3688
"W147"	"path:mmu04918"	"Adcy9;Gnaq;Gnas;Prkca;Prkcb;Plcb1;Plcb4;Adcy2;Creb5;Creb3l1;Atp1a2"	0.667946386040466	0.926155955178888	11	11	3342.5
"W47"	"path:mmu04010"	"Braf;Rap1a;Rps6ka3;Cacna1c;Cacna2d1;Cdc42;Efna5;Egfr;Fgfr1;Fgfr2;Gng12;Igf1r;Il1r1;Il1rap;Insr;Mef2c;Nf1;Nfkb1;Pdgfrb;Prkca;Prkcb;Ppp3ca;Ppp3cb;Flna;Sos2;Taok1;Tgfb2;Tgfbr1;Tgfbr2;Map4k3;Akt3;Map3k3;Mapk1;Mapk14;Map4k4;Taok3;Stk3;Map3k20;Pdgfd;Rapgef2"	0.669154945846457	0.926155955178888	40	40	11757
"W87"	"path:mmu04310"	"Fbxw11;Prickle1;Camk2d;Apc;Btrc;Camk2a;Crebbp;Lgr5;Lrp6;Smad3;Prkca;Prkcb;Plcb1;Plcb4;Ppp3ca;Ppp3cb;Rock2;Tbl1x;Tcf7l1;Tcf7l2;Prickle2;Ror1;Ror2;Cul1;Gsk3b;Tbl1xr1;Csnk1a1"	0.669581453569724	0.926155955178888	27	27	7998.5
"W89"	"path:mmu04340"	"Fbxw11;Boc;Btrc;Gli3;Spop;Csnk1g1;Cul3;Cul1;Gsk3b;Cdon;Smurf2;Disp1;Csnk1a1"	0.671458246091217	0.926155955178888	13	13	3925.5
"W166"	"path:mmu04960"	"Nr3c2;Insr;Irs1;Pdpk1;Pik3ca;Pik3r1;Prkca;Prkcb;Mapk1;Nedd4l;Atp1a2"	0.675952642976549	0.926155955178888	11	11	3336.5
"W90"	"path:mmu04350"	"Acvr1;Bmpr1a;Bmpr2;Crebbp;Dcn;Fbn1;Smad3;Neo1;Rock1;Tgfb2;Tgfbr1;Tgfbr2;Mapk1;Ltbp1;Cul1;Smurf2"	0.679570172178347	0.926155955178888	16	16	4794
"W144"	"path:mmu04915"	"Adcy9;Egfr;Esr1;Gnaq;Gnas;Hsp90ab1;Ncoa1;Ncoa2;Ncoa3;Pik3ca;Pik3r1;Plcb1;Plcb4;Sos2;Adcy2;Creb5;Akt3;Mapk1;Creb3l1"	0.679880972492308	0.926155955178888	19	19	5068.5
"W234"	"path:mmu05222"	"Apaf1;Birc3;Xiap;Ptk2;Fhit;Fn1;Lama2;Lama4;Nfkb1;Pik3ca;Pik3r1;Pten;Traf3;Lamc1;Akt3"	0.681959479782525	0.926155955178888	15	15	4500.5
"W238"	"path:mmu05226"	"Braf;Apc;Ctnna1;Egfr;Fgfr2;Gab1;Lrp6;Smad3;Pik3ca;Pik3r1;Sos2;Tcf7l1;Tcf7l2;Ctnna3;Tgfb2;Tgfbr1;Tgfbr2;Akt3;Mapk1;Gsk3b;Csnk1a1"	0.683591300251084	0.926155955178888	21	21	5621.5
"W12"	"path:mmu00514"	"Ogt;B4galt1;St3gal3;Galnt17;Gxylt2"	0.695505283750985	0.937258457247317	5	5	1556.5
"W"	"path:mmu00061"	"Acacb;Acaca"	0.701967007831385	0.94093449985909	2	2	654
"W207"	"path:mmu05164"	"Apaf1;Crebbp;Jak1;Nfkb1;Pik3ca;Pik3r1;Prkca;Prkcb;Traf3;Akt3;Mapk1;Pabpn1"	0.707398376275291	0.943197835033721	12	12	3175
"W95"	"path:mmu04390"	"Fbxw11;Apc;Birc3;Bmpr1a;Bmpr2;Btrc;Ctnna1;Dlg1;Smad3;Tcf7l1;Tcf7l2;Ctnna3;Tead1;Tgfb2;Tgfbr1;Tgfbr2;Yap1;Ywhae;Frmd6;Stk3;Gsk3b;Pard3;Wwtr1"	0.727303552271546	0.964634185118051	23	23	6776.5
"W121"	"path:mmu04670"	"Rap1a;Ctnna1;Ctnnd1;Cdc42;Ptk2;Afdn;Pik3ca;Pik3r1;Prkca;Prkcb;Rock1;Rock2;Ctnna3;Mapk14;Vav3;Actn4"	0.732299256569827	0.966174935369615	16	16	4293
"W65"	"path:mmu04115"	"Apaf1;Mdm4;Pten;Cop1"	0.747455170523192	0.973926093366935	4	4	1024
"W52"	"path:mmu04022"	"Adcy9;Cacna1c;Gnaq;Insr;Irs1;Mef2a;Mef2c;Ppp1r12a;Prkce;Plcb1;Plcb4;Ppp3ca;Ppp3cb;Prkg1;Rock1;Rock2;Slc8a1;Adcy2;Creb5;Akt3;Mapk1;Creb3l1;Pde3a;Atp2b1;Atp1a2"	0.749331124016091	0.973926093366935	25	25	7329.5
"W169"	"path:mmu04964"	"Gls;Glud1;Slc4a4;Atp1a2"	0.749768500449149	0.973926093366935	4	4	1025
"W193"	"path:mmu05133"	"Nfkb1;Mapk1;Mapk14"	0.754910365411039	0.975534031920592	3	3	936.5
"W204"	"path:mmu05161"	"Braf;Apaf1;Crebbp;Jak1;Smad3;Nfkb1;Pik3ca;Pik3r1;Prkca;Prkcb;Sos2;Stat3;Stat5b;Tgfb2;Tgfbr1;Tgfbr2;Traf3;Creb5;Akt3;Mapk1;Mapk14;Creb3l1"	0.769684474922804	0.975534031920592	22	22	5986
"W103"	"path:mmu04550"	"Acvr1;Apc;Zfhx3;Bmpr1a;Bmpr2;Fgfr1;Fgfr2;Igf1r;Il6st;Jak1;Jarid2;Smad3;Meis1;Pik3ca;Pik3r1;Stat3;Akt3;Kat6a;Mapk1;Mapk14;Gsk3b"	0.77124670437157	0.975534031920592	21	21	6154.5
"W226"	"path:mmu05214"	"Camk2d;Braf;Camk2a;Egfr;Igf1r;Pdgfrb;Pik3ca;Pik3r1;Prkca;Prkcb;Pten;Sos2;Akt3;Mapk1"	0.775297824300239	0.975534031920592	14	14	4132
"W119"	"path:mmu04666"	"Cdc42;Asap1;Dnm2;Gab2;Pik3ca;Pik3r1;Prkca;Prkcb;Prkce;Pld1;Plpp1;Gsn;Akt3;Wasf2;Mapk1;Dock1;Vav3;Plpp3;Actr3"	0.78697135191858	0.975534031920592	19	19	5563.5
"W112"	"path:mmu04650"	"Braf;Fyn;Pik3ca;Pik3r1;Prkca;Prkcb;Ppp3ca;Ppp3cb;Sos2;Mapk1;Vav3"	0.79857963050757	0.975534031920592	11	11	3247.5
"W229"	"path:mmu05217"	"Apc;Gli3;Tcf7l1;Tcf7l2;Gsk3b"	0.798707313062468	0.975534031920592	5	5	1318.5
"W44"	"path:mmu03250"	"Crebbp;Kat2b;Ell2;Ranbp2;Samhd1;Aff4"	0.802578954996215	0.975534031920592	6	6	1796
"W69"	"path:mmu04137"	"Eif2ak3;Usp15;Mitf;Ambra1;Prkn;Foxo3"	0.806428933639784	0.975534031920592	6	6	1596
"W151"	"path:mmu04922"	"Acacb;Phkb;Acaca;Camk2d;Prkag2;Camk2a;Crebbp;Gnaq;Gnas;Plcb1;Plcb4;Ppp3ca;Ppp3cb;Adcy2;Creb5;Sik2;Akt3;Creb3l1;Foxo1"	0.811530574227057	0.975534031920592	19	19	5194.5
"W148"	"path:mmu04919"	"Crebbp;Esr1;Ncoa1;Ncoa2;Ncoa3;Kat2b;Pdpk1;Pik3ca;Pik3r1;Prkca;Prkcb;Plcb1;Plcb4;Ncor1;Slc9a1;Tbc1d4;Thra;Thrb;Akt3;Mapk1;Med13;Foxo1;Gsk3b;Slc16a10;Plce1;Med13l;Atp1a2"	0.812008379085435	0.975534031920592	27	27	7834.5
"W206"	"path:mmu05163"	"Adcy9;Egfr;Ptk2;Gnaq;Gnas;Gnb1;Gng12;Il1r1;Jak1;Nfkb1;Pik3ca;Pik3r1;Prkca;Prkcb;Plcb1;Plcb4;Ppp3ca;Ppp3cb;Rock1;Rock2;Sos2;Stat3;Adcy2;Arhgef11;Creb5;Akt3;Mapk1;Mapk14;Creb3l1;Gsk3b;Arhgef12;Akap13"	0.815486740621944	0.975534031920592	32	32	8818
"W196"	"path:mmu05140"	"Jak1;Nfkb1;Prkcb;Tgfb2;Mapk1;Mapk14"	0.818006688996343	0.975534031920592	6	6	1602
"W82"	"path:mmu04217"	"Camk2d;Birc3;Xiap;Camk2a;Cflar;Faf1;Glud1;Hsp90ab1;Jak1;Stat3;Stat5b;Trpm7"	0.824810818665877	0.975534031920592	12	12	3517
"W219"	"path:mmu05206"	"Foxp1;Abl1;Apc;Bmpr2;Crebbp;Dnmt3a;Efna5;Egfr;Gls;Irs1;Mdm4;Nfkb1;Pdcd4;Pdgfrb;Pik3ca;Pik3r1;Prkca;Prkcb;Prkce;Pten;Rock1;Sos2;Stat3;Hdac4;Zeb1;Tgfb2;Zfpm2;Zeb2;Mapk1;Reck;Rptor;Tnxb"	0.826137497898116	0.975534031920592	32	32	8831
"W250"	"path:mmu05417"	"Camk2d;Rap1a;Abca1;Apaf1;Camk2a;Cdc42;Eif2ak3;Ptk2;Hsp90ab1;Nfkb1;Pdpk1;Pik3ca;Pik3r1;Prkca;Plcb1;Plcb4;Ppp3ca;Ppp3cb;Rock2;Stat3;Traf3;Atf6;Akt3;Mapk1;Mapk14;Gsk3b;Vav3"	0.827229512939424	0.975534031920592	27	27	7817.5
"W108"	"path:mmu04622"	"Nfkb1;Traf3;Mapk14"	0.831010910746297	0.975534031920592	3	3	908.5
"W72"	"path:mmu04142"	"Wdr7;Atp6v0b;Ap3b1;Atp6v0a1;Lamp2;Laptm4a;Ncoa7;Dmxl1;Cltc"	0.8323385336952	0.975534031920592	9	9	2437.5
"W156"	"path:mmu04927"	"Adcy9;Cacna1c;Gnaq;Gnas;Pbx1;Plcb1;Plcb4;Adcy2;Creb5;Creb3l1"	0.836458425551802	0.975534031920592	10	10	2933
"W63"	"path:mmu04110"	"Abl1;Crebbp;Smad3;Stag1;Stag2;Tgfb2;Cdc14b;Ywhae;Cul1;Gsk3b;Anapc5"	0.845534463783516	0.975534031920592	11	11	3000.5
"W213"	"path:mmu05170"	"Fbxw11;Btrc;Ptk2;Gnaq;Gnb1;Gng12;Nfkb1;Pik3ca;Pik3r1;Prkca;Prkcb;Ppp3ca;Ppp3cb;Akt3;Mapk1;Mapk14;Cul1;Samhd1"	0.846156726250352	0.975534031920592	18	18	5222
"W225"	"path:mmu05213"	"Braf;Apc;Ctnna1;Egfr;Pdpk1;Pik3ca;Pik3r1;Pten;Sos2;Tcf7l1;Tcf7l2;Ctnna3;Akt3;Mapk1;Foxo3;Gsk3b"	0.850857468985815	0.975534031920592	16	16	4395
"W61"	"path:mmu04072"	"Dnm3;Adcy9;Dnm1;Dnm2;Egfr;Fyn;Gab1;Gab2;Gnas;Lpar1;Insr;Pdgfrb;Pik3ca;Pik3r1;Prkca;Plcb1;Plcb4;Pld1;Plpp1;Sos2;Adcy2;Akt3;Mapk1;Plpp3;Pdgfd"	0.855863958105147	0.975534031920592	25	25	7214.5
"W53"	"path:mmu04024"	"Camk2d;Braf;Rap1a;Adcy9;Cacna1c;Camk2a;Crebbp;Gli3;Gnas;Gria4;Afdn;Ppp1r12a;Nfkb1;Pik3ca;Pik3r1;Pld1;Rock1;Rock2;Slc9a1;Adcy2;Creb5;Akt3;Pde4d;Abcc4;Mapk1;Creb3l1;Gria3;Pde3a;Vav3;Atp2b1;Plce1;Atp1a2"	0.856620372519241	0.975534031920592	32	32	8868
"W133"	"path:mmu04728"	"Camk2d;Arntl;Cacna1c;Camk2a;Clock;Gnaq;Gnas;Gnb1;Gng12;Gria4;Kif5b;Prkca;Prkcb;Plcb1;Plcb4;Ppp3ca;Ppp3cb;Creb5;Ppp2r3a;Akt3;Mapk14;Creb3l1;Ppp2r5c;Ppp2r5e;Gria3;Gsk3b"	0.858751405868683	0.975534031920592	26	26	7497
"W78"	"path:mmu04210"	"Apaf1;Birc3;Xiap;Cflar;Eif2ak3;Nfkb1;Pdpk1;Pik3ca;Pik3r1;Sptan1;Akt3;Mapk1"	0.859025876651261	0.975534031920592	12	12	3492
"W251"	"path:mmu05418"	"Acvr1;Bmpr1a;Bmpr2;Ptk2;Hsp90ab1;Sdc2;Il1r1;Mef2a;Mef2c;Nfkb1;Pik3ca;Pik3r1;Akt3;Mapk14"	0.863247583537636	0.975534031920592	14	14	3848
"W106"	"path:mmu04620"	"Nfkb1;Pik3ca;Pik3r1;Traf3;Akt3;Mapk1;Mapk14"	0.867502611797477	0.975534031920592	7	7	1904.5
"W179"	"path:mmu05010"	"Braf;Apaf1;Apc;App;Cacna1c;Rb1cc1;Eif2ak3;Gnaq;Slc39a7;Insr;Irs1;Kif5b;Klc1;Lrp1;Lrp6;Nfkb1;Pik3ca;Pik3r1;Plcb1;Plcb4;Ppp3ca;Ppp3cb;Rtn3;Mcu;Atf6;Ambra1;Akt3;Mapk1;Ulk2;Nox4;Gsk3b;Rtn4;Slc39a11;Csnk1a1"	0.869111307870113	0.975534031920592	34	34	9443
"W203"	"path:mmu05160"	"Braf;Apaf1;Cflar;Egfr;Eif2ak3;Jak1;Nfkb1;Pik3ca;Pik3r1;Sos2;Stat3;Traf3;Ywhae;Akt3;Mapk1;Pias1;Gsk3b"	0.869190057987707	0.975534031920592	17	17	4915.5
"W113"	"path:mmu04657"	"Hsp90ab1;Nfkb1;Traf3;Mapk1;Mapk14;Usp25;Gsk3b;Anapc5"	0.871012528500529	0.975534031920592	8	8	2184
"W120"	"path:mmu04668"	"Birc3;Cflar;Itch;Mmp14;Nfkb1;Pik3ca;Pik3r1;Traf3;Creb5;Akt3;Mapk1;Mapk14;Creb3l1"	0.876521145541962	0.977359861400772	13	13	3579.5
"W180"	"path:mmu05012"	"Camk2d;Apaf1;Camk2a;Eif2ak3;Gnas;Slc39a7;Kif5b;Klc1;Mcu;Atf6;Prkn;Slc39a11"	0.883829646066547	0.981167712813965	12	12	3306
"W41"	"path:mmu03022"	"Mnat1;Taf15"	0.891660523937871	0.983631938793566	2	2	533
"W232"	"path:mmu05220"	"Braf;Abl1;Gab2;Smad3;Nfkb1;Pik3ca;Pik3r1;Sos2;Stat5b;Tgfb2;Tgfbr1;Tgfbr2;Akt3;Mapk1"	0.893856007871931	0.983631938793566	14	14	3872
"W189"	"path:mmu05033"	"Gria4;Gria3"	0.898500731965676	0.984157235379692	2	2	595
"W191"	"path:mmu05100"	"Dnm3;Ctnna1;Cd2ap;Cdc42;Dnm1;Dnm2;Elmo1;Ptk2;Fn1;Gab1;Pik3ca;Pik3r1;Ctnna3;Wasf2;Dock1;Cltc;Actr3;Arhgap10"	0.902144132431384	0.984157235379692	18	18	4998
"W111"	"path:mmu04640"	"Cd34;Il1r1"	0.908775041602389	0.987117717602595	2	2	538
"W100"	"path:mmu04520"	"Ctnna1;Ctnnd1;Cdc42;Crebbp;Egfr;Fer;Fgfr1;Fyn;Igf1r;Insr;Smad3;Afdn;Ptprj;Ptprm;Sorbs1;Tcf7l1;Tcf7l2;Ctnna3;Tgfbr1;Tgfbr2;Wasf2;Mapk1;Iqgap1;Actn4;Pard3"	0.926920472768364	0.99473426536248	25	25	7139.5
"W235"	"path:mmu05223"	"Braf;Egfr;Fhit;Kif5b;Pdpk1;Pik3ca;Pik3r1;Prkca;Prkcb;Sos2;Stat3;Stat5b;Akt3;Mapk1;Foxo3"	0.928475010895377	0.99473426536248	15	15	4179.5
"W70"	"path:mmu04140"	"Rb1cc1;Cflar;Eif2ak3;Igf1r;Irs1;Lamp2;Pdpk1;Pik3ca;Pik3r1;Pten;Ambra1;Akt3;Mapk1;Ulk2;Atg10;Dapk1;Mtmr3;Rptor;Uvrag;Deptor"	0.931877927414799	0.99473426536248	20	20	5586
"W145"	"path:mmu04916"	"Camk2d;Adcy9;Camk2a;Crebbp;Gnaq;Gnas;Mitf;Prkca;Prkcb;Plcb1;Plcb4;Adcy2;Tcf7l1;Tcf7l2;Mapk1;Creb3l1;Gsk3b"	0.936410734618279	0.99473426536248	17	17	4857.5
"W73"	"path:mmu04144"	"Dnm3;Gbf1;Ap2a2;Arf4;Cdc42;Dab2;Asap1;Dnm1;Dnm2;Egfr;Eps15;Fgfr2;Igf1r;Itch;Kif5b;Smad3;Nedd4;Pld1;Rab10;Cblb;Arfgef1;Wipf1;Eea1;Tgfbr1;Tgfbr2;Arfgap1;Psd3;Iqsec2;Agap1;Rabep1;Sh3kbp1;Smurf2;Cltc;Snx6;Actr3;Acap2;Nedd4l;Pard3"	0.93751017459749	0.99473426536248	38	38	10817
"W157"	"path:mmu04928"	"Braf;Adcy9;Egfr;Fgfr1;Gnaq;Gnas;Lrp6;Mef2a;Mef2c;Mmp14;Prkca;Prkcb;Plcb1;Plcb4;Pld1;Adcy2;Arhgef11;Creb5;Pde4d;Mapk1;Creb3l1;Akap13"	0.942286713082905	0.99473426536248	22	22	6272
"W153"	"path:mmu04924"	"Cacna1c;Gnaq;Gnas;Plcb1;Plcb4;Ppp3ca;Ppp3cb;Pde3a"	0.947700917183728	0.99473426536248	8	8	2291
"W33"	"path:mmu01521"	"Braf;Egfr;Fgfr2;Gab1;Gas6;Igf1r;Jak1;Nf1;Pdgfrb;Pik3ca;Pik3r1;Prkca;Prkcb;Pten;Sos2;Stat3;Akt3;Mapk1;Foxo3;Gsk3b;Pdgfd"	0.952375418613568	0.99473426536248	21	21	5978.5
"W74"	"path:mmu04145"	"Atp6v0b;Atp6v0a1;Dync1h1;Colec12;Lamp2;Mrc2;Pla2r1;Eea1"	0.952838767195411	0.99473426536248	8	8	2232
"W25"	"path:mmu00620"	"Acacb;Acaca;Acyp2"	0.959208619319674	0.99473426536248	3	3	862.5
"W124"	"path:mmu04714"	"Kdm3a;Prkag2;Rps6ka3;Adcy9;Fgfr1;Gnas;Prkg1;Sos2;Adcy2;Creb5;Mgll;Arid1b;Mapk14;Creb3l1;Frs2;Cox16;Smarca2;Rptor;Arid1a"	0.959759767409512	0.99473426536248	19	19	5330.5
"W200"	"path:mmu05145"	"Birc3;Xiap;Jak1;Lama2;Lama4;Nfkb1;Pdpk1;Stat3;Tgfb2;Lamc1;Akt3;Mapk1;Mapk14"	0.963155399795417	0.99473426536248	13	13	3644.5
"W36"	"path:mmu01524"	"Apaf1;Birc3;Xiap;Pdpk1;Pik3ca;Pik3r1;Rev3l;Akt3;Mapk1"	0.973334212182673	0.997591867287515	9	9	2525.5
"W66"	"path:mmu04120"	"Ube3c;Fbxw11;Birc3;Xiap;Birc6;Btrc;Trip12;Herc2;Itch;Mid1;Pias2;Nedd4;Cblb;Ube2e2;Ube2b;Ube2h;Ube3a;Herc1;Cop1;Cul3;Cul1;Prkn;Ube2k;Pias1;Anapc5;Huwe1;Ube4b;Ube2d3;Smurf2;Herc4;Ube2r2;Ubr5;Nedd4l"	0.975605573120737	0.997591867287515	33	33	9352.5
