feature	metadata	value	coef	stderr	pval	qval	base.model	tweedie.index	N	N.not.zero	percent.zero
App	type	wound	2.2946452081975	0.0517254724808371	0	0	CPLM	1.01	2821	1378	51
Malat1	type	wound	-3.03942532736352	0.0509700771054655	0	0	CPLM	1.267	2821	2103	25
Gm42418	type	wound	-0.728595836846496	0.0191492202225609	5.11660769440962e-256	1.14953119534403e-253	CPLM	1.571	2821	2808	0
Ptprj	type	wound	1.68360897508129	0.0460433203497443	6.31782413419282e-240	1.06455336661149e-237	CPLM	1.01	2821	1510	46
Fgfr2	type	wound	2.81895711146207	0.0826988722744492	1.49826744889827e-213	2.01966452111487e-211	CPLM	1.01	2821	686	76
Tgfbi	type	wound	1.85540440417749	0.0604131367547298	6.26245003701538e-179	7.03481887491394e-177	CPLM	1.114	2821	1195	58
Ptprd	type	wound	3.11523393447928	0.103482610538255	7.06749000023043e-173	6.8049832287933e-171	CPLM	1.01	2821	525	81
Cyfip1	type	wound	2.21992148888308	0.0781205952298256	2.05639329902485e-156	1.73251135442844e-154	CPLM	1.01	2821	629	78
Chl1	type	wound	4.29422995498137	0.154115014968443	3.92566580989693e-151	2.93988750652281e-149	CPLM	1.01	2821	594	79
Gm10801	type	wound	7.97077988211647	0.290764588138956	7.16461568976672e-147	4.82895097490277e-145	CPLM	1.245	2821	1125	60
Alpk1	type	wound	2.04347668920217	0.0778115734069196	3.6093052295837e-136	2.21151974976311e-134	CPLM	1.01	2821	739	74
Plcb1	type	wound	2.48815125066473	0.0957087367527509	9.53820426903524e-134	5.3572913977748e-132	CPLM	1.01	2821	527	81
Fbxw4	type	wound	2.45405236304232	0.0952206468181391	1.05858243268199e-131	5.48834276636665e-130	CPLM	1.01	2821	487	83
Ccr5	type	wound	3.04584986677167	0.118212397140945	1.20904111331556e-131	5.82066935981921e-130	CPLM	1.206	2821	530	81
Lsamp	type	wound	2.30834344167433	0.0931621239922945	8.67706017207552e-123	3.8988923706526e-121	CPLM	1.01	2821	660	77
Nkain2	type	wound	4.76453790109397	0.192406110427749	1.17260645962352e-122	4.93960471116409e-121	CPLM	1.01	2821	692	75
Macrod2	type	wound	2.08046357383252	0.0841509697128557	2.64412266205983e-122	1.04831686719313e-120	CPLM	1.01	2821	550	81
Cntnap2	type	wound	4.67511720417314	0.200203447389478	2.09234434687296e-110	7.83466716551319e-109	CPLM	1.01	2821	455	84
Dlg2	type	wound	3.70043319778721	0.158947640450545	8.40351535339096e-110	2.981036499045e-108	CPLM	1.01	2821	427	85
Lrrc4c	type	wound	3.53763234692441	0.152620779019494	6.11458943223186e-109	2.06061663866214e-107	CPLM	1.01	2821	333	88
Rbfox1	type	wound	2.85099996082099	0.123701502137132	7.9579198506389e-108	2.55411332349077e-106	CPLM	1.01	2821	409	86
Ctnna3	type	wound	2.9134779604711	0.126881114641471	4.15335236600587e-107	1.27243613394907e-105	CPLM	1.01	2821	421	85
Gm37240	type	wound	3.40190075482112	0.150716585785325	7.73025188380769e-104	2.26529989986364e-102	CPLM	1.01	2821	310	89
Magi2	type	wound	1.77938119394936	0.0790948684977206	3.22827994171967e-103	9.06608616966273e-102	CPLM	1.01	2821	585	79
Fhit	type	wound	1.97868457615278	0.0903672349094587	2.80823975231254e-98	7.5710143722346e-97	CPLM	1.01	2821	514	82
Lrrtm4	type	wound	2.82296217997925	0.133436983632586	2.53816079912775e-92	6.57969376389272e-91	CPLM	1.01	2821	309	89
Gm26917	type	wound	0.955403007016568	0.0453655947966424	1.45779771157646e-91	3.63909502815753e-90	CPLM	1.01	2821	1618	43
Dlgap1	type	wound	4.16678075108739	0.197978613160529	1.8632493592328e-91	4.48510738615323e-90	CPLM	1.01	2821	349	88
Sdk1	type	wound	2.85533900405187	0.136232574077839	9.13199202559073e-91	2.12240090525798e-89	CPLM	1.01	2821	301	89
Zfhx3	type	wound	1.48698619462991	0.0720673910471673	3.30606854294012e-88	7.42763399313879e-87	CPLM	1.01	2821	699	75
Dock10	type	wound	1.61352733266151	0.0791820489892115	3.21057796039805e-86	6.98041788809125e-85	CPLM	1.01	2821	740	74
Pcdh15	type	wound	4.39881639961165	0.219047625355149	6.05448115009472e-84	1.2752250922387e-82	CPLM	1.01	2821	354	87
Cdh18	type	wound	2.57832345114487	0.128888521297575	2.35601258911352e-83	4.81197722746216e-82	CPLM	1.01	2821	294	90
Nckap5	type	wound	2.34254013150436	0.117307258062876	4.35619028334161e-83	8.6355066205066e-82	CPLM	1.01	2821	294	90
Etl4	type	wound	2.4338297524413	0.123199181399278	1.83118818230684e-81	3.52634524249945e-80	CPLM	1.01	2821	330	88
Tshz2	type	wound	2.05623891060814	0.104622236542665	1.06331749461355e-80	1.99076664269314e-79	CPLM	1.01	2821	376	87
Camta1	type	wound	2.28153404468263	0.119339736895248	1.04400552980778e-76	1.90178304619038e-75	CPLM	1.01	2821	304	89
Tenm2	type	wound	3.30905109793831	0.173385759263822	1.82912848995322e-76	3.24429632165387e-75	CPLM	1.01	2821	303	89
Lrp1b	type	wound	5.15223973982309	0.278406840825736	2.96553199838418e-72	5.12504760746394e-71	CPLM	1.01	2821	410	85
Prkg1	type	wound	1.62692857969848	0.0882856668470172	1.07860917805845e-71	1.81745646502849e-70	CPLM	1.01	2821	473	83
Sox5	type	wound	2.19202782831381	0.118968869356303	1.12924655146049e-71	1.85637116020579e-70	CPLM	1.01	2821	337	88
Kcnip4	type	wound	3.08408969940005	0.168056160503059	3.79943624081943e-71	6.0971905388388e-70	CPLM	1.01	2821	322	89
Snx4	type	wound	2.20072153529171	0.119997561457315	4.61446230911478e-71	7.23290138684503e-70	CPLM	1.01	2821	288	90
Ank3	type	wound	2.26861238549096	0.124148695998207	1.37127860276978e-70	2.10054949606098e-69	CPLM	1.01	2821	301	89
Galntl6	type	wound	5.21254913998992	0.290666130683442	3.4732659411791e-68	5.20218054301047e-67	CPLM	1.01	2821	328	88
Neat1	type	wound	-2.51607436790788	0.141228494999652	2.30388384256911e-67	3.37569067367734e-66	CPLM	1.01	2821	1465	48
Gpr141	type	wound	2.0579422451092	0.115672489562406	3.41500355511576e-67	4.89726041733621e-66	CPLM	1.106	2821	378	87
Arhgap24	type	wound	1.71801025835971	0.0992978131254219	8.07565684489432e-64	1.13395681530391e-62	CPLM	1.01	2821	452	84
Dpyd	type	wound	1.57947463216883	0.0916509300401899	2.3436341710739e-63	3.22369271694654e-62	CPLM	1.01	2821	446	84
Gphn	type	wound	0.803649839531571	0.0467241339658572	3.96901177687709e-63	5.35022787523031e-62	CPLM	1.01	2821	1595	43
Fcer1g	type	wound	1.9655041337816	0.115130788027548	2.91112667445124e-62	3.84725368349047e-61	CPLM	1.01	2821	322	89
Ccser1	type	wound	1.51001759753359	0.088814867677588	8.62402299829075e-62	1.11780605785538e-60	CPLM	1.01	2821	509	82
Dpp10	type	wound	5.10346444869373	0.300583292545841	1.23689136350921e-61	1.57295241321737e-60	CPLM	1.01	2821	353	87
Galnt17	type	wound	1.93668685497815	0.115330184287585	2.16430035660891e-60	2.70136748213779e-59	CPLM	1.01	2821	325	88
Agbl1	type	wound	1.59290526977403	0.0956270916571278	1.7022617081513e-59	2.08604434780722e-58	CPLM	1.01	2821	447	84
Lingo2	type	wound	4.93519586831467	0.303845831103742	8.83642119455153e-57	1.06352640805852e-55	CPLM	1.01	2821	296	90
Cdk8	type	wound	0.739042667340327	0.0458557968174682	5.72750290249312e-56	6.77252097593046e-55	CPLM	1.409	2821	2464	13
Stk39	type	wound	1.97452099857965	0.125772756249734	2.60271014670815e-53	3.02452868772637e-52	CPLM	1.01	2821	300	89
Cdh13	type	wound	1.26543780985672	0.0811847934746845	1.31310649441138e-52	1.50005724954792e-51	CPLM	1.01	2821	584	79
Col1a2	type	wound	-3.00348718682495	0.194548370931942	1.1122382401452e-51	1.24941428976311e-50	CPLM	1.01	2821	1366	52
Camk1d	type	wound	-1.3717684255953	0.0896461632239738	7.73951067918325e-51	8.55152491437624e-50	CPLM	1.01	2821	1505	47
Dennd4a	type	wound	1.80332375907708	0.118507815126314	2.58195112429254e-50	2.80683073834382e-49	CPLM	1.01	2821	329	88
Grid2	type	wound	5.53891370387818	0.372665072027172	3.64263905399394e-48	3.89704559109828e-47	CPLM	1.01	2821	372	87
Nrxn3	type	wound	5.53449001357392	0.376593366470864	3.6263409157851e-47	3.81899027693619e-46	CPLM	1.01	2821	355	87
Gm48099	type	wound	1.39050913385902	0.0955948551852732	2.82431735905226e-46	2.92859984615572e-45	CPLM	1.01	2821	449	84
Csmd1	type	wound	3.11529796909227	0.215296339349535	7.92223471805867e-46	8.09028212116901e-45	CPLM	1.01	2821	362	87
Zeb2	type	wound	-1.34227974069921	0.0945741357125533	3.25947839392832e-44	3.27893796642939e-43	CPLM	1.01	2821	1323	53
Arl6ip5	type	wound	1.57295569483426	0.111500505061095	1.01725451793505e-43	1.0082787427768e-42	CPLM	1.01	2821	321	89
Col1a1	type	wound	-3.00664345406681	0.214558377197106	3.51908746067294e-43	3.43748543259936e-42	CPLM	1.01	2821	1207	57
Dgkb	type	wound	5.32643807531284	0.381824398278544	8.07499126067033e-43	7.77506301384543e-42	CPLM	1.01	2821	290	90
Alcam	type	wound	1.0827100402934	0.078054017532438	2.26043495269761e-42	2.14582134946224e-41	CPLM	1.01	2821	687	76
