feature	metadata	value	coef	stderr	pval	qval	base.model	tweedie.index	N	N.not.zero	percent.zero
Slc1a3	type	wound	2.24401313314904	0.103547994141708	5.56585089238592e-72	6.26714810482655e-69	CPLM	1.186	455	309	32
Malat1	type	wound	-2.57345606703535	0.124947411262348	5.29531989996443e-67	2.98126510367997e-64	CPLM	1.289	455	405	11
Chl1	type	wound	3.71197981399838	0.201083069858417	3.81521002688392e-57	1.4319754967571e-54	CPLM	1.01	455	97	79
App	type	wound	2.60032985506358	0.15579250435978	4.28066173812194e-49	1.20500627928133e-46	CPLM	1.01	455	156	66
Fgfr2	type	wound	2.48886078883083	0.183918690731408	2.78915536878741e-35	6.28117789050924e-33	CPLM	1.01	455	102	78
Nkain2	type	wound	5.04631459843832	0.375087818113831	5.97386821449496e-35	1.12109593492022e-32	CPLM	1.01	455	69	85
Ptprj	type	wound	3.46161047492174	0.260217847657988	2.56069864583721e-34	4.11906667887528e-32	CPLM	1.01	455	60	87
Gm10801	type	wound	8.34047102423171	0.653607424549606	4.49252436453601e-32	6.32322804308443e-30	CPLM	1.265	455	102	78
Dlg2	type	wound	2.56551921036119	0.202875774281566	1.32669993833079e-31	1.65984903395608e-29	CPLM	1.01	455	88	81
Arhgap24	type	wound	1.69134659193756	0.136335079432741	1.2542337302097e-30	1.41226718021612e-28	CPLM	1.01	455	222	51
Lsamp	type	wound	2.74116417755307	0.221835645122647	1.98057813477054e-30	2.02739179977421e-28	CPLM	1.01	455	79	83
Tgfbr3	type	wound	1.84563121267824	0.15195299431031	1.39390014967736e-29	1.30794297378059e-27	CPLM	1.01	455	190	58
Gm42418	type	wound	-0.602250528274381	0.0506523798867876	1.46215721862555e-28	1.20490851909545e-26	CPLM	1.987	455	455	0
Ctnna3	type	wound	3.62460981782949	0.304916679945664	1.4981100592661e-28	1.20490851909545e-26	CPLM	1.01	455	53	88
Tgfbi	type	wound	2.31883301947699	0.203249956021394	1.12549318044332e-26	8.44870214119452e-25	CPLM	1.01	455	102	78
Macrod2	type	wound	2.07418568263796	0.186127910722749	1.18057407840715e-25	8.3082900767903e-24	CPLM	1.01	455	106	77
Cd302	type	wound	3.09837756815664	0.283611421053012	8.06207699430109e-25	5.33994040916649e-23	CPLM	1.091	455	55	88
Alpk1	type	wound	3.56198597006105	0.341860554731559	6.22152625598284e-23	3.89191031346482e-21	CPLM	1.01	455	52	89
Nckap5	type	wound	2.81815641596316	0.274171404460799	2.0401170496351e-22	1.20903778836269e-20	CPLM	1.01	455	48	89
Hdac9	type	wound	2.54882850732479	0.25815435023944	5.93256937441275e-21	3.34003655779438e-19	CPLM	1.01	455	55	88
Cyfip1	type	wound	2.418592994612	0.248778742062063	2.04290845391663e-20	1.09538805671911e-18	CPLM	1.01	455	63	86
Cyp7b1	type	wound	2.52930014445038	0.2631400466912	4.97310380626669e-20	2.5453249481165e-18	CPLM	1.01	455	55	88
Fbxw4	type	wound	2.2561646937178	0.237399420501854	1.18799746754699e-19	5.81602238459959e-18	CPLM	1.01	455	63	86
St3gal4	type	wound	1.83651831442426	0.203774153009773	5.67697702762107e-18	2.66344838879222e-16	CPLM	1.01	455	112	75
Dlgap1	type	wound	3.87228101060916	0.434077501899103	1.15187232013256e-17	5.18803292987704e-16	CPLM	1.01	455	48	89
Ptprd	type	wound	1.63060599876023	0.18488866123471	2.50067702966433e-17	1.08298551361617e-15	CPLM	1.01	455	144	68
Ccser1	type	wound	2.13583386748475	0.242391777321827	2.65579928098363e-17	1.10756666310651e-15	CPLM	1.01	455	64	86
Rbms3	type	wound	1.02697809152321	0.11722442082835	3.9047707389003e-17	1.57027566142919e-15	CPLM	1.01	455	264	42
Magi2	type	wound	1.86602216015225	0.213567980954791	4.66314574266781e-17	1.81058693318757e-15	CPLM	1.01	455	90	80
Trp63	type	wound	2.46908019573765	0.292503388631929	4.27763187653856e-16	1.60553783099414e-14	CPLM	1.01	455	64	86
Pcsk5	type	wound	1.80042635392797	0.227579646516174	1.97134167758022e-14	7.1604217063075e-13	CPLM	1.01	455	86	81
Cdk8	type	wound	1.06984835406194	0.135319260538245	2.04338859118887e-14	7.19017360524584e-13	CPLM	1.508	455	419	8
Hivep3	type	wound	1.81063935505339	0.230503590211868	2.92495124429242e-14	9.9802881850705e-13	CPLM	1.01	455	79	83
Gm26917	type	wound	0.847120767116021	0.109045941482801	5.36228316248962e-14	1.77586201204803e-12	CPLM	1.159	455	382	16
Prkg1	type	wound	1.99747676194997	0.257923840068937	6.3380929445071e-14	2.03905504443286e-12	CPLM	1.01	455	61	87
Frmd4b	type	wound	2.34021539353534	0.323535101600262	2.02582535929291e-12	6.33633154045506e-11	CPLM	1.01	455	47	90
Lrrc4c	type	wound	1.69666825919161	0.234742678104888	2.10054557441951e-12	6.39247112647667e-11	CPLM	1.01	455	83	82
Agbl1	type	wound	2.04886505840971	0.28984281784843	5.94216991713567e-12	1.76075877018283e-10	CPLM	1.01	455	57	87
Il1r1	type	wound	2.09870081166628	0.297285671481461	6.31328068745103e-12	1.8227574497615e-10	CPLM	1.01	455	50	89
Kdm4b	type	wound	1.9094006342717	0.270743455317966	6.61083449646148e-12	1.86094991075391e-10	CPLM	1.01	455	59	87
Dse	type	wound	1.64418337458976	0.24423605535688	5.08146978256581e-11	1.3955451158949e-09	CPLM	1.01	455	115	75
Sntg2	type	wound	1.99722560447584	0.299584129211222	7.62936181120425e-11	2.04539557128952e-09	CPLM	1.091	455	46	90
Chsy3	type	wound	2.02686495408934	0.305483302295401	9.28426791361218e-11	2.43118271412263e-09	CPLM	1.01	455	51	89
Yars	type	wound	1.91655989899886	0.293371011952858	1.73757979622272e-10	4.44662466033358e-09	CPLM	1.01	455	60	87
Neat1	type	wound	-2.02597346678226	0.31252914656421	2.36093164773875e-10	5.90757563411962e-09	CPLM	1.01	455	339	25
Thsd7a	type	wound	1.84185511489145	0.28768908812334	3.8330101064718e-10	9.38254213018967e-09	CPLM	1.01	455	49	89
Slc9a9	type	wound	1.68057157506491	0.264922916757424	5.44399460369916e-10	1.30424211143942e-08	CPLM	1.01	455	65	86
Zdhhc1	type	wound	1.83298987834285	0.291949007102118	8.01703275975723e-10	1.88066226822638e-08	CPLM	1.01	455	63	86
Gphn	type	wound	0.708852658012509	0.114823613943056	1.48624997005718e-09	3.41534176792732e-08	CPLM	1.01	455	355	22
Robo1	type	wound	1.52740962786533	0.250863014349599	2.43113880755878e-09	5.36757313198272e-08	CPLM	1.01	455	89	80
Antxr1	type	wound	1.51951843977158	0.249498827993005	2.4079168026149e-09	5.36757313198272e-08	CPLM	1.01	455	88	81
Dock10	type	wound	1.82585626125067	0.308524826863896	6.4364124378046e-09	1.39373084710923e-07	CPLM	1.01	455	56	88
Nos1ap	type	wound	1.63930664585124	0.280578024805341	9.82815334562397e-09	2.08801899380615e-07	CPLM	1.01	455	52	89
Dennd4a	type	wound	1.78991890475798	0.308730829813463	1.26212182817593e-08	2.63175773801128e-07	CPLM	1.01	455	46	90
Stard13	type	wound	1.25002775927884	0.220068290096112	2.40931280293149e-08	4.93252039291065e-07	CPLM	1.01	455	124	73
Rasl12	type	wound	1.70079436349593	0.309117224126184	6.28868695458961e-08	1.26447526979784e-06	CPLM	1.01	455	61	87
Dis3l2	type	wound	1.28561026775194	0.235879803447192	8.27520722729424e-08	1.63471637507602e-06	CPLM	1.01	455	99	78
Gm19951	type	wound	0.900604692412071	0.166189120025381	9.74826751780128e-08	1.89250848707659e-06	CPLM	1.01	455	271	40
Dpyd	type	wound	1.05620741039684	0.195403493425699	1.04852449351573e-07	2.0010823384724e-06	CPLM	1.01	455	158	65
Gm48099	type	wound	1.5127652332661	0.283417678017717	1.49220690938637e-07	2.80037496661508e-06	CPLM	1.01	455	81	82
Arhgap15	type	wound	1.42612342207467	0.271119761520226	2.22469269305644e-07	4.10656388915008e-06	CPLM	1.01	455	73	84
Adamtsl1	type	wound	1.28701396896829	0.246810240445698	2.80706817787486e-07	5.09799801336628e-06	CPLM	1.01	455	98	78
Nrp1	type	wound	1.29112092487419	0.248258649031705	3.01225468735078e-07	5.3838075840587e-06	CPLM	1.01	455	91	80
Atxn1	type	wound	0.824399948706135	0.163597764342912	6.7679862921548e-07	1.19074258827598e-05	CPLM	1.01	455	214	53
Tom1l2	type	wound	1.1841084162795	0.235536345927636	7.17802076997254e-07	1.24345405953678e-05	CPLM	1.01	455	111	76
Camta1	type	wound	1.57073627709309	0.320020345223678	1.28450374873659e-06	2.19144124405667e-05	CPLM	1.01	455	52	89
Cdh13	type	wound	1.330405075757	0.272741604824068	1.48712948943665e-06	2.49926538075473e-05	CPLM	1.01	455	89	80
Fhit	type	wound	1.06377496295878	0.219889034502878	1.80278921194239e-06	2.98520684212813e-05	CPLM	1.01	455	142	69
Gbf1	type	wound	1.10111379258522	0.228390558513797	1.95144275566767e-06	3.13903506125971e-05	CPLM	1.01	455	107	76
Aff3	type	wound	1.68878200678641	0.350072153924214	1.92455375902816e-06	3.13903506125971e-05	CPLM	1.01	455	47	90
Adam12	type	wound	1.34295170650326	0.281999133361937	2.58093942386378e-06	4.09315181869102e-05	CPLM	1.01	455	69	85
Hmgb1	type	wound	1.44497276440119	0.305197258882907	2.94050714603853e-06	4.59862645338803e-05	CPLM	1.01	455	60	87
Fam172a	type	wound	0.884375028977003	0.18723789520608	3.10039897124885e-06	4.7822592351044e-05	CPLM	1.01	455	162	64
Zbtb20	type	wound	-1.03920647661639	0.220265653980638	3.17836532655119e-06	4.83626940229276e-05	CPLM	1.01	455	327	28
Pced1b	type	wound	1.47148015119228	0.314017873056253	3.6905540886806e-06	5.54075187180581e-05	CPLM	1.01	455	56	88
Ank2	type	wound	1.03115093531188	0.221927070369351	4.43556962622371e-06	6.57164657779986e-05	CPLM	1.01	455	114	75
Focad	type	wound	1.41912073309277	0.307626972392311	5.1698717031768e-06	7.56009810100919e-05	CPLM	1.01	455	61	87
Tshz2	type	wound	0.787391326462815	0.171098574197394	5.44138573674732e-06	7.85512864048395e-05	CPLM	1.01	455	214	53
Cp	type	wound	1.50716110501978	0.336184954054558	9.3307957854983e-06	0.000132993367778115	CPLM	1.01	455	50	89
Ppara	type	wound	1.3071470686132	0.292465403418024	9.9227957655731e-06	0.000139663350400441	CPLM	1.01	455	74	84
Pakap.1	type	wound	1.23131796320494	0.27656575172952	1.07174710026595e-05	0.000148986078382649	CPLM	1.01	455	79	83
Sgcd	type	wound	0.764590333280849	0.173240391517835	1.27300993744723e-05	0.00017480599872751	CPLM	1.01	455	191	58
Tspan18	type	wound	1.1159001799333	0.254400220902496	1.43474710148718e-05	0.000194641594731875	CPLM	1.01	455	106	77
Rasal2	type	wound	1.52093594467548	0.349990007961185	1.71574670036465e-05	0.00022999176007269	CPLM	1.01	455	50	89
Zfhx3	type	wound	0.897903619088903	0.207132484191772	1.79809536020197e-05	0.000238194750069108	CPLM	1.01	455	183	60
Sik2	type	wound	-1.51813501846545	0.355397439555509	2.365896658734e-05	0.000309767399736567	CPLM	1.155	455	234	49
Pigu	type	wound	1.4002331439298	0.329310451379707	2.57449587780363e-05	0.000333204868782401	CPLM	1.01	455	53	88
Irak2	type	wound	1.19932845954945	0.283348509812871	2.79673774057594e-05	0.000357855306350967	CPLM	1.01	455	73	84
Tns1	type	wound	-1.23992066182675	0.293204611954746	2.84303362313409e-05	0.000359691669623482	CPLM	1.01	455	276	39
Cacna2d1	type	wound	1.24601915374769	0.295989631631122	3.08555728472569e-05	0.000386037500289014	CPLM	1.01	455	58	87
Wdr7	type	wound	1.24736799642471	0.297392308760315	3.2932412151776e-05	0.000407493363548349	CPLM	1.01	455	58	87
Lpl	type	wound	0.945552371559485	0.226382232664268	3.54762088595092e-05	0.000434197947563123	CPLM	1.01	455	172	62
Zeb2	type	wound	-1.19876206725126	0.289746378554406	4.19039227364422e-05	0.00050735287098101	CPLM	1.01	455	292	36
Pid1	type	wound	0.835928989394803	0.20352473517848	4.75129483820282e-05	0.000569144466788976	CPLM	1.01	455	170	63
Mctp1	type	wound	1.50020881140216	0.36839357380732	5.49450828815214e-05	0.000651243824469401	CPLM	1.01	455	49	89
Wwox	type	wound	0.922086011706506	0.226627526495039	5.57633134422767e-05	0.000654057197250037	CPLM	1.01	455	169	63
Nr6a1	type	wound	1.38043836819734	0.339576081045905	5.65879014488443e-05	0.00065688636114844	CPLM	1.01	455	48	89
Phkg1	type	wound	1.24966929806889	0.310303061639246	6.61586212148482e-05	0.000760149055999174	CPLM	1.01	455	54	88
Dmd	type	wound	1.03575429077712	0.258030500437179	6.98296630270695e-05	0.000794224248166468	CPLM	1.01	455	136	70
Nav1	type	wound	1.46606261082382	0.365888729236189	7.19232160682937e-05	0.000809855412928987	CPLM	1.01	455	51	89
Arl6ip5	type	wound	1.34275362108834	0.338241810603371	8.3631466397375e-05	0.000932366645182617	CPLM	1.01	455	53	88
Plxdc2	type	wound	1.10009296350315	0.277656695728842	8.62964221922946e-05	0.000945110884121533	CPLM	1.01	455	89	80
Nbas	type	wound	1.19274686085341	0.301076063763616	8.64533046754155e-05	0.000945110884121533	CPLM	1.01	455	60	87
Nav3	type	wound	0.952569504726805	0.241828684708144	9.47098921760908e-05	0.00102541671721421	CPLM	1.01	455	118	74
Meg3	type	wound	-4.09016992601948	1.04070930768196	9.81446952706003e-05	0.00105248501785425	CPLM	1.175	455	281	38
Sntb2	type	wound	1.13054014724119	0.290542575408559	0.00011475311564901	0.00121898120963005	CPLM	1.01	455	72	84
Oxct1	type	wound	1.27022554935921	0.326888475300321	0.000117215548418554	0.00123350193943263	CPLM	1.01	455	61	87
Mast4	type	wound	1.10966507012007	0.289486409572587	0.000144358827204096	0.00150507443918344	CPLM	1.01	455	74	84
Slc8b1	type	wound	1.18955803409793	0.310863205715402	0.000148152495396255	0.00153045605335948	CPLM	1.01	455	76	83
Slc1a5	type	wound	-2.00359577686945	0.526807665741948	0.000162363981069887	0.00166201675167903	CPLM	1.01	455	198	56
Nfia	type	wound	-0.753121207678435	0.200162536006076	0.000190278761005755	0.00190565021999663	CPLM	1.01	455	314	31
Pam	type	wound	1.12489470806106	0.299059156605	0.000191094130686048	0.00190565021999663	CPLM	1.01	455	72	84
Cdkal1	type	wound	0.905317584667248	0.240696193336437	0.000191241984777637	0.00190565021999663	CPLM	1.01	455	102	78
Ctif	type	wound	1.05121792740887	0.280197528212845	0.000198441607747788	0.00196004605547376	CPLM	1.01	455	85	81
Sema3c	type	wound	1.28621705178776	0.343503871510929	0.000204120529771342	0.00199860623063071	CPLM	1.01	455	53	88
Glg1	type	wound	1.1774582285687	0.317834435733907	0.000237853103208197	0.00230881546734854	CPLM	1.01	455	61	87
Pdss2	type	wound	1.30988589069228	0.356392564584856	0.000265911570362296	0.00255911477117902	CPLM	1.01	455	50	89
Dapk1	type	wound	-1.56068967335247	0.429096926621906	0.000307355625866962	0.00290825575400168	CPLM	1.01	455	218	52
Anxa2	type	wound	1.18176068375001	0.324808988322089	0.000305996288920189	0.00290825575400168	CPLM	1.01	455	66	85
Tbck	type	wound	1.15242672149865	0.318234847018976	0.000326234509326766	0.00306116714584949	CPLM	1.01	455	54	88
Slc24a3	type	wound	1.06170883628832	0.295057621917519	0.00035559107644914	0.0032817356832294	CPLM	1.01	455	84	82
P2rx4	type	wound	1.22842130890068	0.341191184248648	0.000352837718430492	0.0032817356832294	CPLM	1.01	455	61	87
Sugct	type	wound	1.38331839656935	0.384667471898316	0.000358484448523282	0.0032817356832294	CPLM	1.01	455	48	89
Hipk2	type	wound	0.852811670282613	0.240859784887135	0.00044037428501344	0.00396708574675606	CPLM	1.01	455	132	71
Pakap	type	wound	1.08708213647434	0.307311513686694	0.000445767605854456	0.00396708574675606	CPLM	1.01	455	77	83
Parva	type	wound	1.2031659408579	0.340225600868786	0.00044744217569984	0.00396708574675606	CPLM	1.01	455	53	88
Acvr1c	type	wound	-1.6774954581101	0.473853053724668	0.000441317249608185	0.00396708574675606	CPLM	1.01	455	223	51
Dst	type	wound	-1.1211770657935	0.321366197799867	0.000532650562307409	0.00468566041529799	CPLM	1.01	455	227	50
Aopep	type	wound	0.96139130395931	0.276847080475673	0.000564835960351748	0.00493027357640363	CPLM	1.01	455	83	82
Stk39	type	wound	1.18531768549494	0.342358788064912	0.000586602576081067	0.00508088077436371	CPLM	1.01	455	62	86
Plce1	type	wound	1.12405444871985	0.328617782805593	0.000681542275029935	0.00585814199758555	CPLM	1.01	455	54	88
Chd9	type	wound	0.677660830204683	0.198969621665862	0.00071834084479404	0.00612766508513703	CPLM	1.01	455	175	62
Pdzrn3	type	wound	-1.5152174861593	0.446753151481791	0.000755713158814975	0.00639799260771175	CPLM	1.01	455	181	60
