feature	metadata	value	coef	stderr	pval	qval	base.model	tweedie.index	N	N.not.zero	percent.zero
Chl1	type	wound	4.83872490523078	0.130856245021676	2.16993380529414e-238	3.15725368670297e-235	CPLM	1.01	2461	248	90
Malat1	type	wound	-2.21523069810213	0.0681883896672554	6.03822838273909e-193	4.39281114844269e-190	CPLM	1.295	2461	2342	5
Ptprd	type	wound	2.66797205204744	0.0913274803174931	2.63247924720939e-161	1.27675243489655e-158	CPLM	1.01	2461	560	77
Fbxw4	type	wound	2.56901327665922	0.101558787767949	1.12194489701346e-125	4.08107456288645e-123	CPLM	1.01	2461	466	81
Fgfr2	type	wound	2.00204993856053	0.079638551269798	2.59971012216145e-124	7.56515645548982e-122	CPLM	1.01	2461	936	62
Ctnna3	type	wound	3.33775469975763	0.134608330680664	2.44386948106185e-121	5.92638349157498e-119	CPLM	1.01	2461	267	89
App	type	wound	1.90743372169516	0.0846600367906019	2.39836795865211e-102	4.98517911405546e-100	CPLM	1.01	2461	1002	59
Gm10801	type	wound	9.35217982547828	0.42834483994726	9.7221134514272e-97	1.76820938397832e-94	CPLM	1.26	2461	280	89
Zfhx3	type	wound	2.41624073759805	0.115195807406057	5.33206772374347e-90	8.62017615338528e-88	CPLM	1.01	2461	433	82
St3gal4	type	wound	1.74940991581049	0.0870294753679024	2.47981255300464e-83	3.60812726462175e-81	CPLM	1.01	2461	1244	49
Tgfbr3	type	wound	1.49796637263149	0.0788905858287624	3.93844448755479e-75	5.20948793581111e-73	CPLM	1.01	2461	1451	41
Cyp7b1	type	wound	1.70472842585662	0.0915364547679724	1.60166991314421e-72	1.94202476968735e-70	CPLM	1.132	2461	1086	56
Casp4	type	wound	2.53068888685969	0.151885594088548	3.84625608612584e-59	4.30484815793315e-57	CPLM	1.01	2461	264	89
Agbl1	type	wound	2.37551966713228	0.146498426813597	2.93402253589155e-56	3.04928770694443e-54	CPLM	1.01	2461	327	87
Macrod2	type	wound	1.75826779318229	0.116312549973461	1.95124172316012e-49	1.89270447146531e-47	CPLM	1.01	2461	692	72
Gm26917	type	wound	1.16188942939995	0.0772886637297997	6.21908326598795e-49	5.65547884500779e-47	CPLM	1.01	2461	1864	24
Nckap5	type	wound	2.00150660831249	0.13662205020353	1.17641446814057e-46	1.00687238302619e-44	CPLM	1.01	2461	437	82
Cyfip1	type	wound	1.94960344412853	0.136463240249844	1.52818362577077e-44	1.23528176416471e-42	CPLM	1.01	2461	435	82
Plcb1	type	wound	2.05775493267363	0.149959112033167	2.39945569058835e-41	1.83747791042423e-39	CPLM	1.01	2461	346	86
Yars	type	wound	2.06773462832537	0.153382129970241	5.15370394237273e-40	3.74931961807616e-38	CPLM	1.01	2461	342	86
Galnt17	type	wound	2.00947171865238	0.149523740444763	8.72713438699168e-40	6.04665739670138e-38	CPLM	1.01	2461	369	85
Dock10	type	wound	2.19358132631062	0.168491405393402	1.61184761569366e-37	1.06601740037922e-35	CPLM	1.01	2461	261	89
Fhit	type	wound	1.75588007165725	0.136844971630729	1.58565069531871e-36	1.00309641812553e-34	CPLM	1.01	2461	533	78
Cdk8	type	wound	1.20045593428825	0.0941335849243197	4.08744624959333e-36	2.47801428881595e-34	CPLM	1.437	2461	2133	13
Sox5	type	wound	1.68171046275475	0.131917108561537	4.31219412777699e-36	2.50969698236621e-34	CPLM	1.01	2461	531	78
Pdgfrb	type	wound	1.52723900621904	0.12087871872269	1.68574203064878e-35	9.27571284780359e-34	CPLM	1.01	2461	723	71
Meg3	type	wound	-3.93670734960528	0.311627681267335	1.72126630165427e-35	9.27571284780359e-34	CPLM	1.286	2461	2096	15
Gphn	type	wound	1.06739447957421	0.0846667350131645	2.33902876614351e-35	1.21545959097815e-33	CPLM	1.01	2461	1575	36
